Année;Livraison;Date;Numéro;Page;Catégorie;Sous-Catégorie;Langue;Titre;Auteur;Identifiant auteur;Identifiant ouvrage;Posture;Affichage identitaire;Traducteur;Identifiant traducteur;Para-auteur;Identifiant para-auteur;Nb de feuilles;Fraction;Nombre de pages;Volumes;Calcul;Format;Tirage 1;Illustration 1;Nombre d'illustrations 1;Type de papier 1;Prix 1;Tirage 2;Illustration 2;Nombre d'illustrations 2;Type de papier 2;Prix 2;Tirage 3;Illustration 3;Nombre d'illustrations 3;Type de papier 3;Prix 3;Tirage 4;Type de papier 4;Tirage 5;Type de papier 5;Tirage 6;Type de papier 6;Tirage 7;Type de papier 7;Tirage 8;Type de papier 8;Tirage 9;Type de papier 9;Edition;Lieu d'édition;Impression;Lieu d'impression;Librairie 1;Lieu de vente 1;Librairie 2;Lieu de vente 2;Librairie 3;Lieu de vente 3;Librairie 4;Lieu de vente 4;Librairie 5;Lieu de vente 5;Librairie 6;Lieu de vente 6;Librairie 7;Lieu de vente 7;Librairie 8;Lieu de vente 8;Librairie 9;Lieu de vente 9;Commentaires des bibliographes contenus dans la notice;Notes (e-BdF);;;;;;;;;;;;;;;
1824;1;1824/01/03;33;206;BELLES-LETTRES;Poétique et Poésie;Français;Manuel du commis-voyageur;E. Lecomte, négociant à l'Aigle (Orne);http://ark.bnf.fr/ark:/12148/cb10361025h;http://ark.bnf.fr/ark:/12148/cb307674776;;"Commerce;Contexte géographique";;;;;;3/4;12;;16;in-8°;;;;;0,75;;;;;;;;;;;;;;;;;;;;;;;;;Crapelet;Paris;;;;;;;;;;;;;;;;;;;Épître en vers.;;;;;;;;;;;;;;;;
1824;1;1824/01/03;57;225;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;Réflexions rapides sur une rébellion de débiteurs insolvables, ou observations sur les dénonciations à la mode.;l'Hermite du quartier Notre-Dame;http://ark:/12148/cb13241994n;http://ark.bnf.fr/ark:/12148/cb36388010m;Pseudonyme;"Contexte géographique;Autres";;;;;3;1/2;56;;16;in-8°;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Guiremand;Privas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;1;1824/01/03;72;225;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;"L’Astrologue parisien, ou le Mathieu Lænsbergh réformé, à l'usage des habitans de la France ; contenant une lettre aux Parisiens en forme de préface ; l'historique des douze mois de l'année ; le bout du télescope ; des Prédictions sur la politique, les littératures classiques et romantique, les sociétés savantes, les journaux et les théâtres ; les portraits de quelques originaux qui paraîtront en 1824 ; le moyen d'aller à la lune ; les souvenirs épigrammatiques de l'astrologue ; des anecdotes ; des mélanges, et une nouvelle intitulée : M. Rhomberg. Orné de figure. Seconde édition.";J. J. A. M. L., quartier de l'Observatoire;http://ark.bnf.fr/ark:/12148/cb169158574;;Anonyme;Contexte géographique;;;;;3;;144;;48;in-24;;une planche;1;;;;;;;;;;;;;;;;;;;;;;;;;;;Feugueray;Paris;Tenon;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;1;1824/01/03;77;201;BELLES-LETTRES;Poétique et Poésie;Français;Nouvelles Méditations poétiques. Troisième édition.;Alphonse de Lamartine;http://ark.bnf.fr/ark:/12148/cb119108008;;;;;;;;7;1/3;264;;36;in-18;;un frontispice gravé;1;;;;;;;;;;;;;;;;;;;;;;;;;;;Rignoux;Paris;Urbain Canel;Paris;Audin;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;1;1824/01/03;78;201;BELLES-LETTRES;Poétique et Poésie;Français;Poésies sacrées, précédées du Calendrier ecclésiastique;Jean-Baptiste Trécourt, ancien consul de S. M. dans le Levant;http://ark.bnf.fr/ark:/12148/cb126429081;http://ark.bnf.fr/ark:/12148/cb31491515q;;"Politique;Contexte géographique";;;;;8;1/2;136;;16;in-8°;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Baucé-Rusand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;1;1824/01/03;92;224;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;Etrennes littéraires aux grands hommes, ou l'empire du café, et le rapport de son influence sur l'esprit, les mœurs et l'économie animale, poëme en quatre chants;Blandeau, auteur de l'empire du tabac;http://ark.bnf.fr/ark:/12148/cb132351768;http://ark.bnf.fr/ark:/12148/cb30112134t;;Métiers du livre;;;;;4;;64;;16;in-8°;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;Gaultier-Laguionie;Paris;Delaunay;Paris;Ponthieu;Paris;Pichard;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;1;1824/01/03;93;208;BELLES-LETTRES;Poétique et Poésie;Français;"L’Entrée de Ferdinand VII à Madrid ; stances présentées à S. M. le roi d'Espagne";J. Brisset, garde du corps du roi de France;http://ark.bnf.fr/ark:/12148/cb130132211;http://ark.bnf.fr/ark:/12148/cb301627424;;Armée et maintien de l'ordre;;;;;;1/2;8;;16;in-8°;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Trouvé;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;1;1824/01/03;94;222;BELLES-LETTRES;Mythologie et Fables;Français;Fables pour l’enfance;Hennet, officier de la Légion-d'Honneur, chevalier de Malte, l'un des fondateurs de la société royale des bonnes-lettres;http://ark.bnf.fr/ark:/12148/cb120940875;http://ark.bnf.fr/ark:/12148/cb30591876s;;"Sociétés savantes;Fonctions religieuses;Distinctions honorifiques;Armée et maintien de l'ordre";;;;;3;1/4;104;;32;in-16;;une planche;1;;;;;;;;;;;;;;;;;;;;;;;;;;;Guyot;Paris;Delaunay;Paris;Ponthieu;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;1;1824/01/03;96;196;BELLES-LETTRES;Langues;Français;Grammaire française, à l'usage des pensionnats. XXXVIIIe édition.;Ch. C. Letellier, professeur de belles-lettres;http://ark.bnf.fr/ark:/12148/cb13005487s;http://ark.bnf.fr/ark:/12148/cb469976916;;Enseignement;;;;;10;;240;;24;in-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gratiot;Paris;Leprieur;Paris;Belin-Leprieur;Paris;Constant Letellier;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;1;1824/01/03;103;197;BELLES-LETTRES;Langues;Français;Dictionnaire du patois du bas-limousin (Corrèze), et plus particulièrement des environs de Tulle. Ouvrage posthume de M. Beronie, professeur émérite de rhétorique, mis en ordre, augmenté et publié par M. Joseph-Anne Vialle, avocat.;M. Beronie, professeur émérite de rhétorique;http://ark.bnf.fr/ark:/12148/cb12195961c;http://ark.bnf.fr/ark:/12148/cb39326577z;;"Enseignement;Justice";;;M. Joseph-Anne Vialle, avocat.;ark:/12148/cb10516731w;47;;376;;8;in-4°;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Drapeau;Tulle;chez l'éditeur;Tulle, rue du Collège, n. 521;;;;;;;;;;;;;;;;;"""Sans millésime.""";;;;;;;;;;;;;;;;
