Date;Livraison;Année;N° de notice;Page;Catégorie;Sous-catégorie;Langue;Titre;Auteur;Posture;Affichage identitaire;Traducteur;Para-auteur;Nombre de feuilles;Fraction;Nombre de pages;Nombre de volumes;Format;Tirage 1;Illustrations 1;Nombre d'illustrations 1;Type de papier 1;Prix 1;Tirage 2;Illustrations 2;Nombre d'illustrations 2;Type de papier 2;Prix 2;Tirage 3;Illustrations 3;Nombre d'illustrations 3;Type de papier 3;Prix 3;Edition;Lieu d'édition;Imprimeur;Lieu d’impression;Lieu de vente 1;Libraire 1;Lieu de vente 2;Libraire 2;Lieu de vente 3;Libraire 3;Lieu de vente 4;Libraire 4;Lieu de vente 5;Libraire 5;Lieu de vente 6;Libraire 6;Lieu de vente 7;Libraire 7;Lieu de vente 8;Libraire 8;Lieu de vente 9;Libraire 9;Commentaires des bibliographes;Notes (e-BdF);Lien notice catalogue
1827/01/03;1;1827;2;250;BELLES-LETTRES;Poétique et Poésie;Allemand;Ballades allemandes, tirées de Burger, Koerner et Kosegarten et publiées par Ferdinand Flocon.;"Burger;Koerner;Kosegarten";Compilation;;;Ferdinand Flocon;6 8/9;;248;;in-18;;;;;;;;;;;;;;;;;;Henry;Paris;Paris, rue Gît-le-Cœur, n. 8;Henry;Paris;Têtot frères;;;;;;;;;;;;;;;En prose.;;
1827/01/03;1;1827;5;258;BELLES-LETTRES;Romans et Contes;Français;Delia, nouvelle russe.;Mme L. de Saint-Ouen;Nom féminin;Épouse;;;8;;192;;in-12;;;;;3;;;;;;;;;;;;;Tastu;Paris;Paris, rue Vivienne, n. 16;A. Dupont;;;;;;;;;;;;;;;;;;;
1827/01/03;1;1827;9;248;BELLES-LETTRES;Poétique et Poésie;Français;Les étrennes du troubadour, recueil de poésies diverses adressées au Roi et à son auguste famille.;Augustin André, du département de Vaucluse;;Contexte géographique;;;8 1/4;;132;;in-8°;;;;;;;;;;;;;;;;;;Béthune;Paris;Paris, rue du Pot-de-Fer, n. 8;Rusand;Paris;Béthune;;;;;;;;;;;;;;;La pagination recommence à chaque pièce.;;
1827/01/03;1;1827;11;242;BELLES-LETTRES;Poétique et Poésie;Français;La Henriade, ornée de dessins lithographiques de M. Horace Vernet, avec les portraits par M. Mauzaisse. Livraisons XXIII à XXXI.;;Anonyme;;;"M. Horace Vernet;M. Mauzaisse";20;;80;;in-folio;;19 pl. dont 18 portraits;19;;;;;;;;;;;;;;;Gaultier-Laguionie;Paris;Paris, rue de Grenelle-Saint-Honoré, hôtel des Fermes;Paul Dupont;Paris, rue Saint-Guillaume, n. 38;E. Dubois;;;;;;;;;;;;;;;"Un seul cahier in-folio de 20 feuilles (plus 19 planches dont 18 portraits). L'ouvrage devait avoir 40 planches distribuées en 10 livraisons, c'est-à-dire que chaque livraison devait avoir quatre planches, et l'ouvrage entier coûter 150-0. On ne pouvait faire aucune augmentation dans le texte. On a un peu plus que doublé le nombre des planches, et l'on a un peu plus que triplé le nombre des livraisons, et, par suite, le prix. Les 31 livraisons sont 85 planches; ce qui ne fait pas trois planches par livraison. Le prix des 31 livraisons est de 465-0. Avant la lettre : 775-0.";;
1827/01/03;1;1827;13;258;BELLES-LETTRES;Romans et Contes;Français;Isabelle, nouvelle historique du tems de saint Louis.;;Anonyme;;;;18;;432;2;in-12;;;;;5,0;;;;;;;;;;;;;Crapelet;Paris;Paris, rue de l'Université, n. 5;Ridan;;;;;;;;;;;;;;;;;Dédié à Mme la baronne de Stael, presque dix ans après sa mort.;;
1827/01/03;1;1827;18;243;BELLES-LETTRES;Poétique et Poésie;Français;Lutéciennes.;J. R. Gustave M***, professeur de philosophie et de sciences morales;Anonyme masculin;Enseignement;;;2;;32;;in-8°;;;;;;;;;;;;;;;;;;Carpentier-Méricourt;Paris;Paris;marchands de nouveautés;;;;;;;;;;;;;;;;;;;
1827/01/03;1;1827;22;257;BELLES-LETTRES;Romans et Contes;Français;Le nouveau Télémaque, ou Aventures curieuses du jeune Henry.;;Anonyme;;;;11;;88;;in-4° oblong;;planches;;;15,0;;;;;;;;;;;;;Chassaignon;Paris;Paris, rue de Savoie, n. 6;Castel de Courval;;;;;;;;;;;;;;;;;;;
1827/01/03;1;1827;23;266;BELLES-LETTRES;Polygraphes;Français;Oeuvres complètes de Voltaire. XXXVIIe et XXXVIIIe livraisons, en un seul cahier.;Voltaire;Pseudonyme;;;;6 1/2;;104;;in-8°;;;;;2,0;;;;;;;;;;;;;Didot aîné;Paris;Paris;Didot aîné;Paris;Dufour et compagnie;Paris;Baudouin frères;;;;;;;;;;;;;In-8° de 13 demi-feuilles. Prix de chaque livraison : 2-0. Ces livraisons appartiennent à l'édition en un seul volume in-8°, promise d'abord en 70 livraisons, et qu'on annonce à présent devoir en avoir 80 de quinze en quinze jours.;;
1827/01/03;1;1827;25;253;BELLES-LETTRES;Théâtre;Français;L'ours et le pacha, folie-vaudeville en un acte, représentée sur le théâtre des Variétés, le 10 février 1820. Nouvelle édition, avec de nombreux changemens, conformes à la représentation.;"M. Eugène Scribe;M. Xavier";"Collectif;Pseudonyme masculin";;;;2;;32;;in-8°;;;;;1,50;;;;;;;;;;;;;Chaignieau fils aîné;Paris;Paris, rue de Valois, n. 1;Brunet;;;;;;;;;;;;;;;;;;;
1827/01/03;1;1827;26;254;BELLES-LETTRES;Théâtre;Français;"Paris et Bruxelles, ou le Chemin à la mode, comédie-vaudeville en deux actes; représentée sur le théâtre des Variétés, le 4 décembre 1826.";"M. Théaulon;M. Etienne;M. Gondelier";"Collectif;Pseudonyme masculin";;;;3;;48;;in-8°;;;;;;;;;;;;;;;;;;David;Paris;Paris, cour des Fontaines, n. 7;;;;;;;;;;;;;;;;;;;;
1827/01/03;1;1827;32;243;BELLES-LETTRES;Poétique et Poésie;Français;Poésies.;Jean Polonius;;;;;7 5/8;;122;;in-8°;;;;;3,0;;;;;;;;;;;;;Fournier;Paris;Paris, quai des Augustins;Aimé André;;;;;;;;;;;;;;;;;;;
