Date;Livraison;Année;N° de notice;Page;Catégorie;Sous-catégorie;Langue;Titre;Auteur;Posture;Affichage identitaire;Traducteur;Para-auteur;Nombre de feuilles;Fraction;Nombre de pages;Nombre de volumes;Format;Tirage 1;Illustrations 1;Nombre d'illustrations 1;Type de papier 1;Prix 1;Tirage 2;Illustrations 2;Nombre d'illustrations 2;Type de papier 2;Prix 2;Tirage 3;Illustrations 3;Nombre d'illustrations 3;Type de papier 3;Prix 3;Edition;Lieu d'édition;Imprimeur;Lieu d’impression;Lieu de vente 1;Libraire 1;Lieu de vente 2;Libraire 2;Lieu de vente 3;Libraire 3;Lieu de vente 4;Libraire 4;Lieu de vente 5;Libraire 5;Lieu de vente 6;Libraire 6;Lieu de vente 7;Libraire 7;Lieu de vente 8;Libraire 8;Lieu de vente 9;Libraire 9;Commentaires des bibliographes;Notes (e-BdF);Lien notice catalogue
1825/01/01;1;1825;3;244;BELLES-LETTRES;Polygraphes;Français;Œuvres complètes de M. le comte de Ségur, de l'Académie française, ornées de son portrait, d'un fac simile de son écriture et de deux atlas composés de 32 planches. Par P. Tardieu. Tomes I (Mémoires ou souvenirs et anecdotes, tome Ier.) et VII (Politique des cabinets de l'Europe, tome Ier).;M. le comte de Ségur, de l'Académie française;;"Noblesse;Sociétés savantes;Contexte géographique";;P. Tardieu;57 1/4;;916;2;in-8°;;un portrait et un fac simile;2;;14;;;;;;;;;;;;;Casimir;Paris;Paris;A. Eymery;;;;;;;;;;;;;;;;;(1824.) L'édition aura 30 volumes. (V. n. 744 de 1824.);;
1825/01/01;1;1825;5;243;BELLES-LETTRES;Polygraphes;Français;Œuvres diverses de Fénélon.;Fénélon;;;;;29 3/8;;470;;in-8°;;;;;8,50;;;;;;;;;;;;;J. Didot aîné;Paris;Paris;Lefèvre;;;;;;;;;;;;;;;;;Le faux-titre porte : Collection des Classiques français. (1824.);;
1825/01/01;1;1825;8;211;BELLES-LETTRES;Introduction;Français;"Répertoire de la littérature ancienne et moderne, contenant : 1° le Lycée de Laharpe, les Élémens de la littérature de Marmontel, un choix d'articles littéraires de Rollin, Voltaire, Batteux, etc.; 2°. des notices biographiques sur les principaux auteurs anciens et modernes, avec des jugemens par nos meilleurs critiques, etc., etc. Tome VIII (CI-CONTE.).";"Laharpe;Marmontel;Rollin;Voltaire;Batteux";"Compilation;Pseudonyme";;;nos meilleurs critiques;30 1/4;;484;;in-8°;;;;;6,50;;;;;;;;;;;;;Pochard;Paris;Paris;Castel de Courval;;;;;;;;;;;;;;;;;L'ouvrage aura 30 volumes et 120 portraits. Chaque livraison de 4 portraits coûte 2,50.;;
1825/01/01;1;1825;9;244;BELLES-LETTRES;Polygraphes;Français;Œuvres complètes de Voltaire. (Tomes XXVI et XXXIV.);Voltaire;Pseudonyme;;;;66 1/2;;1064;2;in-8°;;;;;;;;;;;;;;;;;;Gaultier-Laguionie;Paris;Paris;Dupont;;;;;;;;;;;;;;;;;"Le tome XXXVIe est le 1er des Mélanges historiques; le XXXIVe est le 4e de la Philosophie. Les deux volumes forment la 25e livraison.";;
1825/01/01;1;1825;10;244;BELLES-LETTRES;Polygraphes;Français;Œuvres complètes de J. J. Rousseau, avec des éclaircissemens et des notes historiques. Par P. R. Auguis. (Tome IX) : Nouvelle Héloïse. Tome II.;J. J. Rousseau;;;;"P. R. Auguis;M. Lequien;M. Musset-Pathay";24;;384;;in-8°;;;;;;;;;;;;;;;;;;J. Didot aîné;Paris;Paris;Dalibon;;;;;;;;;;;;;;;;;"Dans l'ordre de publication, c'est le 7e volume; l'édition en aura 25. La note, page 186, indiquée comme n'étant pas de J. J. Rousseau, est de cet auteur. En revanche, la note de la page 126 indiquée comme étant de lui, n'en est pas. Au total, les Eclaircissemens et Notes historiques, promis par le frontispice, sont au nombre de cinq, dont deux étaient textuellement dans l'édition de M. Lequien, et deux textuellement dans l'édition de M. Musset-Pathay. Les deux notes prises dans l'édition Lequien, sont aux pages 13 et 134; les deux notes prises dans l'édition Musset-Pathay, sont aux pages 126 et 160; reste donc à M. Auguis une seule note; c'est celle de la page 303, ainsi conçue : ""On lit Maïs dans quelques éditions."" M. Lequien avait dit : ""On lit Maïs dans presque toutes les éditions."" M. Auguis, page 127, à la fin de la note Musset-Pathay qu'il n'a reproduite qu'en en supprimant quelques mots, a ajouté ceux-ci : ""Voyez la note de la page 140 de ce volume.""";;
1825/01/01;1;1825;11;244;BELLES-LETTRES;Polygraphes;Français;Œuvres complètes de Michel L'Hospital, chancelier de France, ornées de portraits et de vues dessinées et gravées. Par A. Tardieu, et précédées d'un essai sur sa vie et ses ouvrages. Par P. J. S. Dufey, de l'Yonne. Tome II.;Michel L'Hospital, chancelier de France;;"Contexte géographique;Justice;Politique;Administration";;"A. Tardieu;P. J. S. Dufey, de l'Yonne";34 1/4;;548;;in-8°;;;;;5,0;;;;grand-raisin vélin d'Annonay;15;;;;;;;;F. Didot;Paris;Paris;Boulland et compagnie;;;;;;;;;;;;;;;;;L'édition aura six volumes, qui paraîtront en six livraisons. Chaque livraison sera accompagnée d'un cahier de planches, et se vendra 5-0. Grand-raisin vélin d'Annonay, tiré à 50 : 15-0.;;
1825/01/01;1;1825;11;244;BELLES-LETTRES;Polygraphes;Français;Œuvres complètes de Michel L'Hospital, chancelier de France, ornées de portraits et de vues dessinées et gravées. Par A. Tardieu, et précédées d'un essai sur sa vie et ses ouvrages. Par P. J. S. Dufey, de l'Yonne. Figures, deuxième livraison.;;;;;;0 3/4;;12;;in-8°;;3 planches, dont une double et deux fac simile;6;;;;;;;;;;;;;;;F. Didot;Paris;Paris;Boulland et compagnie;;;;;;;;;;;;;;;;;L'édition aura six volumes, qui paraîtront en six livraisons. Chaque livraison sera accompagnée d'un cahier de planches, et se vendra 5-0. Grand-raisin vélin d'Annonay, tiré à 50 : 15-0.;;
1825/01/01;1;1825;19;217;BELLES-LETTRES;Poétique et Poésie;Français;Le Bal, poëme moderne, suivi de poésies.;Ulric Guttinguer;;;;;2;;72;;in-18;;;;;;;;;;;;;;;;;;Fournier;Paris;Paris;Ladvocat;;;;;;;;;;;;;;;;;;;
1825/01/01;1;1825;20;219;BELLES-LETTRES;Poétique et Poésie;Français;"Epître au Roi, mise sous ses yeux par M. le comte de Damas, premier gentilhomme de la chambre du Roi, etc., et agréée par S. M.; suivie de la Tombe de Louis XVIII.";G. S. I. Bertrand, typographe;;Métiers du livre;;;1;;16;;in-8°;;;;;;;;;;;;;;;;;;Plassan;Paris;Paris;Ponthieu;Paris;Ladvocat;;;;;;;;;;;;;;;(1825.);;
1825/01/01;1;1825;21;222;BELLES-LETTRES;Poétique et Poésie;Français;Refrains pour rire, ou Momus en goguettes.;F. H. Soyé;;;;;3;;108;;in-18;;;;;3,0;;;;;;;;;;;;;Chaignieau fils aîné;Paris;Paris;Martinet;Paris;Vente;Paris;Delaunay;;;;;;;;;;;;;(1825.);;
1825/01/01;1;1825;22;221;BELLES-LETTRES;Poétique et Poésie;Français;Odes.;Edouard d'Anglemont;;;;;5 8/9;;;;in-8°;;;;;;;;;;;;;;;;;;Pinard;Paris;Paris;J. C. Blosse;;;;;;;;;;;;;;;;;;;
1825/01/01;1;1825;23;222;BELLES-LETTRES;Poétique et Poésie;Français;Chansons. Deuxième édition.;Francis;;;;;4 8/9;;176;;in-18;;;;;;;;;;;;;;;;;;F. Didot;Paris;Paris;Ladvocat;;;;;;;;;;;;;;;;;La première édition m'est inconnue.;;
1825/01/01;1;1825;25;230;BELLES-LETTRES;Théâtre;Français;"La Léocadie de Pantin, parodie de la Léocadie de Feydeau; représentée sur le théâtre des Variétés le 20 décembre 1824.";"M. Dartois;M. Dupin;M. Varner";Collectif;;;;2;;32;;in-8°;;;;;1,50;;;;;;;;;;;;;Hocquet;Paris;Paris;Barba;Paris;Martinet;;;;;;;;;;;;;;;;;
1825/01/01;1;1825;26;228;BELLES-LETTRES;Théâtre;Français;"Le Tardif, comédie en un acte et en vers; représentée sur le Théâtre-Français le 8 décembre 1824.";M. Justin Gensoul;;;;;3;;48;;in-8°;;;;;2,50;;;;;;;;;;;;;Casimir;Paris;Paris;Bouquin de la Souche;;;;;;;;;;;;;;;;;Confrontez n. 6787 de 1824.;;
1825/01/01;1;1825;27;230;BELLES-LETTRES;Théâtre;Français;"L'École du Scandale, pièce en trois actes et en prose, imitée du Shéridan; représentée sur le théâtre de la Porte-Saint-Martin le 8 décembre 1824.";"M. Crosnier;M. Jouslin de la Salle;M. Saint-M......";"Anonyme masculin;Collectif";;;;5;;80;;in-8°;;;;;1,50;;;;;;;;;;;;;David;Paris;Paris;Quoy;Paris;Barba;;;;;;;;;;;;;;;;;
1825/01/01;1;1825;28;230;BELLES-LETTRES;Théâtre;Français;"La Vendange normande, ou les Deux voisins, vaudeville en un acte; représenté sur le théâtre des Variétés le 18 mars 1817.";"M. Gentil;M. ***";"Collectif;Anonyme masculin";;;;2 1/4;;36;;in-8°;;;;;1,25;;;;;;;;;;;;;Porthmann;Paris;Paris;Mlle Huet-Masson;;;;;;;;;;;;;;;;;Sans millésime.;;
1825/01/01;1;1825;29;230;BELLES-LETTRES;Théâtre;Français;"Les Chevilles de maître Adam, menuisier de Nevers, ou les poètes artisans, comédie en un acte, mêlée de vaudevilles. Troisième édition; représentée sur le théâtre Montansier le samedi 7 nivôse an 14 (28 décembre 1805.) Troisième édition.";"M. Francis;M. Moreau";"Collectif;Pseudonyme masculin";;;;2;;32;;in-8°;;frontispice sur onglet;1;;1,50;;;;;;;;;;;;;Mme veuve Porthmann;Paris;Paris;Mme Huet;Paris;Barba;;;;;;;;;;;;;;;Frontispice sur onglet.;;
1825/01/01;1;1825;30;231;BELLES-LETTRES;Théâtre;Français;"Veuve et garçon, comédie-vaudeville en un acte; représentée sur le théâtre de l'Ambigu-Comique le 14 décembre 1824.";"M. Alexandre;M. Théodore";"Collectif;Pseudonyme masculin";;;;3;;48;;in-8°;;;;;;;;;;;;;;;;;;Hocquet;Paris;Paris;Quoy;;;;;;;;;;;;;;;;;;;
