Date;Livraison;Année;N° de notice;Page;Catégorie;Sous-catégorie;Langue;Titre;Auteur;Posture;Affichage identitaire;Traducteur;Para-auteur;Nombre de feuilles;Fraction;Nombre de pages;Nombre de volumes;Format;Tirage 1;Illustrations 1;Nombre d'illustrations 1;Type de papier 1;Prix 1;Tirage 2;Illustrations 2;Nombre d'illustrations 2;Type de papier 2;Prix 2;Tirage 3;Illustrations 3;Nombre d'illustrations 3;Type de papier 3;Prix 3;Edition;Lieu d'édition;Imprimeur;Lieu d’impression;Lieu de vente 1;Libraire 1;Lieu de vente 2;Libraire 2;Lieu de vente 3;Libraire 3;Lieu de vente 4;Libraire 4;Lieu de vente 5;Libraire 5;Lieu de vente 6;Libraire 6;Lieu de vente 7;Libraire 7;Lieu de vente 8;Libraire 8;Lieu de vente 9;Libraire 9;Commentaires des bibliographes;Notes (e-BdF);Lien notice catalogue;Nombre de para-auteurs;Type de livre;Type d'illustrations 1;Type d'illustrations 2;Type d'illustrations 3;Lieu de parution;Orfèvre;Liens notice catalogue;LIBRAIRE 1;LIBRAIRE 2;LIBRAIRE 3;LIBRAIRE 4;LIBRAIRE 5;LIBRAIRE 6;LIBRAIRE 7;LIBRAIRE 8;LIBRAIRE 9;Nome;Prénom;Surnom;Sexe;Age;Nationalité;Importance;Biographie;Bibliographie;Nombre de illustrations;Type de papier;Prix
1836/03/26;13;1836;1568;222;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;Leçons latines modernes de littérature et de morale. Seconde édition.;"M. Noël;M. Delaplace";Collectif;;;;70 1/4;;1124;2;in-8°;;;;;8;;;;;;;;;;;;;le Normant;Paris;Paris, rue de Seine, n. 8;Mme veuve le Normant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/04/02;14;1836;1577;219;BELLES-LETTRES;Romans et Contes;Français;Antonio Giovani. Par Mme Nanine Souvestre. Tome Ier. Faux-titre, titre, dédicace et table.;;Anonyme;;;;0 1/3;;8;;in-12;;;;;;;;;;;;;;;;;;Côme;Brest;Brest;Côme;;;;;;;;;;;;;;;;;Voyez n. 230.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/04/02;14;1836;1577;219;BELLES-LETTRES;Romans et Contes;Français;Antonio Giovani. Tome II.;Mme Nanine Souvestre;Nom féminin;Épouse;;;13 5/6;;332;;in-12;;;;;;;;;;;;;;;;;;Côme;Brest;Brest;Côme;;;;;;;;;;;;;;;;;Voyez n. 230.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/04/02;14;1836;1581;204;BELLES-LETTRES;Poétique et Poésie;Français;Bagatelles. Commandemens d'une maîtresse à sa cuisinière. = La Maîtresse à sa portière ou concierge. = Réplique de la servante à sa maîtresse. = Réponse à un ami auquel j'avais manifesté le désir d'acheter une maison, et qui me proposait la sienne. = Cartouche, institeur.;;Anonyme;;;;0 1/2;;8;;in-8°;;;;;;;;;;;;;;;;;;Crapelet;Paris;;;;;;;;;;;;;;;;;;;En vers.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/04/02;14;1836;1589;206;BELLES-LETTRES;Poétique et Poésie;Français;La colonisation d'Alger, ou le Géant de l'Atlas. Ode qui a obtenu une mention à l'académie d'Amiens, dans sa séance annuelle du 30 août 1835, le prix n'ayant pas été donné par L. M. Chevalier.;;Anonyme;;;;0 1/2;;8;;in-8°;;;;;;;;;;;;;;;;;;Montalant-Bougleux;Versailles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/04/02;14;1836;1590;226;BELLES-LETTRES;Mythologie et Fables;Français;Conférence de la fable avec l'histoire sainte. Seconde édition.;Delort de Lavaur;;;;;10;;240;;in-12;;;;;;;;;;;;;;;;;;Séguin aîné;Avignon;Avignon;Séguin aîné;;;;;;;;;;;;;;;;;Une édition in-8° est annoncée sous le n. 6604 de 1835.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/04/02;14;1836;1594;215;BELLES-LETTRES;Théâtre;Français;"Deux pour un, ou le Bigame. Vaudeville en un acte; représenté, le 9 novembre 1835, sur le théâtre des Variétés de Bordeaux.";M. Numa Jautard;;;;;0 3/4;;12;;in-8°;;;;;;;;;;;;;;;;;;Teycheney;Bordeaux;Bordeaux;Laloubère;;;;;;;;;;;;;;;;;Plus la couverture.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/04/02;14;1836;1596;203;BELLES-LETTRES;Poétique et Poésie;Français;Dictionnaire portatif des rimes françaises, rédigé d'après l'académie, par P. A. de Lanneau.;P. A. de Lanneau;;;;;4 1/2;;288;;in-32;;;;;;;;;;;;;;;;;;Baudouin;Paris;Paris, quai des Augustins, n. 37;Froment;Paris, quai des Augustins, n. 39;Berquet;;;;;;;;;;;;;;;Sans millésime.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/04/02;14;1836;1597;217;BELLES-LETTRES;Romans et Contes;Français;Didier, ou le Borgne et le boiteux. Tome II.;Roland Banchery, auteur de la Napolitaine;;Métiers du livre;;;21 1/2;;344;;in-8°;;;;;7,50;;;;;;;;;;;;;Mme Delacombe;Paris;Paris, rue des Gravilliers, n. 34;Roux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/04/02;14;1836;1602;199;BELLES-LETTRES;Introduction et Langues;Français;Élémens de la grammaire française. Par Lhomond. Édition corrigée, annotée et enrichie, pour la première fois, de dictées analytiques et orthographiques en regard du texte. Par M. A. Peigné.;Lhomond;;;;M. A. Peigné;4 2/3;;112;;in-12;;;;;0,50;;;;;;;;;;;;;Decourchant;Paris;Paris, rue Pavée-St-André-des-Arts, n. 13;Pesron;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
