Année;Livraison;Date;N° de notice;Page;Catégorie;Sous-Catégorie;Langue;Titre;Auteur;Posture;Affichage identitaire;Traducteur;Para-auteur;Nombre de feuilles;Fraction;Nombre de pages;Nombre de volumes;Format;Tirage 1;Illustrations 1;Nombre d'illustrations 1;Type de papier 1;Prix 1;Tirage 2;Illustrations 2;Nombre d'illustrations 2;Type de papier 2;Prix 2;Tirage 3;Illustrations 3;Nombre d'illustrations 3;Type de papier 3;Prix 3;Edition;Lieu d'édition;Imprimeur;Lieu d’impression;Lieu de vente 1;Libraire 1;Lieu de vente 2;Libraire 2;Lieu de vente 3;Libraire 3;Lieu de vente 4;Libraire 4;Lieu de vente 5;Libraire 5;Lieu de vente 6;Libraire 6;Lieu de vente 7;Libraire 7;Lieu de vente 8;Libraire 8;Lieu de vente 9;Libraire 9;Commentaires des bibliographes;Notes (e-BdF);Lien notice catalogue
1821;1;1821/01/06;2;180;BELLES-LETTRES;Théâtre;Français;Oeuvres de Molière, avec un Commentaire, un Discours préliminaire, et une Vie de Molière, par M. Auger de l'Académie française. Tome V.;Molière;Pseudonyme;"Contexte géographique;Sociétés savantes";;M. Auger de l'Académie française;31;;496;;In-8°;;une gravure (une planche);1;;10,0;;;;;;;;;;;;;Firmin Didot;Paris;Paris;Desoër;;;;;;;;;;;;;;;;;L'édition entière aura 9 volumes. Ce volume contient l'Amour médecin, le Misantrope, le Medecin malgré lui, Mélicerte et la Pastorale comique, le Sicilien ou l'Amour peintre, avec les Notices historiques et littéraires de commentateur, qui a mis en outre un Avertissement en tête du Misantrope. La gravure qui accompagne ce volume est celle du Festin de Pierre, lequel fait partie du tome quatrième.;;
1821;1;1821/01/06;3;172;BELLES-LETTRES;Poétique et Poésie;Français;Choix des poésies originales des troubadours. Tome IV, contenant des tensons, des complaintes historiques, des pièces sur les croisades, des sirventes historiques, des sirventes diverses, et des pièces morales et religieuses;M. Raynouard, membre de l'Institut royal de France, etc.;;"Contexte géographique;Sociétés savantes";;;30;;480;1;In-8°;;;;;9,0;;;;;;;;;;;;;Firmin Didot;Paris;Paris;Firmin Didot;;;;;;;;;;;;;;;;;Ce tome IV ne sera mis en vente qu'avec les tomes V et VI qui sont sous presse.;;
1821;1;1821/01/06;4;194;BELLES-LETTRES;Polygraphes;Français;"Oeuvres de Fénelon, archevêque de Cambrai, publiées d'après les manuscrits originaux, et les éditions les plus correctes; avec un grand nombre de pièces inédites. Tomes III et IV";Fénelon, archevêque de Cambrai;;"Religion;Contexte géographique";;;80;;1280;2;In-8°;;;;;;;;;;;;;;;;;;J. A. Lebel;Versailles;;;;;;;;;;;;;;;;;;;"Ces volumes forment la seconde livraison des OEuvres de Fénélon; on trouve dans le troisième volume l'ouvrage, jusqu'alors inédit, intitulé : Refutation du système du P. Mallebranche sur la nature et la grâce, etc. En tête du quatrième est un Avertissement de l'éditeur sur les ouvrages sur le quiétisme, qui forment la seconde section de la première classe; c'est à des ouvrages de cette section qu'est consacré le quatrième volume. L'Histoire de Fénelon, par M. le cardinal de Bausset, en quatre volumes in-8°, fait partie de la première livraison.";;
1821;1;1821/01/06;5;170;BELLES-LETTRES;Rhétorique et Eloquence;Français;"Leçons de rhétorique et de belles-lettres, traduites de l'anglais de H. Blair, par J. P. Quénot, avocat; suivies des opinions de Voltaire, Buffon, Marmontel, Laharpe, etc., sur les principales questions de littérature traitées par H. Blair";"H. Blair;Voltaire;Buffon;Marmontel;Laharpe";Pseudonyme;Justice;J. P. Quénot, avocat;;73;;1168;3;In-8°;;;;;15,0;;;;;;;;;;;;;Crapelet;Paris;Paris;Lefèvre;;;;;;;;;;;;;;;;;;;
1821;1;1821/01/06;8;195;BELLES-LETTRES;Polygraphes;Français;Oeuvres complètes de Voltaire. Nouvelle édition. Tomes IV, XVI, XIX et XX;Voltaire;Pseudonyme;;;;51 1/3;;1848;4;In-18;;;;;8,0;;;;;;;;;;;;;Carez;Toul;Paris;Carez;Paris;Thomine et Fortic;;;;;;;;;;;;;;;Ces quatre vol. forment la troisième livraison de l'édition en 60 vol., et sont les tomes III du Théatre, IV (et dernier) de l'Essai sur les mœurs, III (et dernier) des Siècles de Louis XIV et Louis XV, et unique de l'Histoire de Charles XII.;;
1821;1;1821/01/06;9;195;BELLES-LETTRES;Polygraphes;Français;Voltaire. Edition publiée par M. Touquet. Tome XV;Voltaire;Pseudonyme;;;;16 1/6;;388;1;In-12;;;;;2,0;;;;;;;;;;;;;Baudouin fils;Paris;;;;;;;;;;;;;;;;;;;Est le tome II du Théatre, et contient l'Orphelin de la Chine, Adélaïde du Guesclin, le Triumvirat, Olympie, Oreste, le Duc de Foix, l'Enfant prodigue, Nanine.;;
1821;1;1821/01/06;10;195;BELLES-LETTRES;Polygraphes;Français;Lettre à Mme Perronneau et compagnie;Beuchot;;;;;0 1/3;;8;1;In-12;;;;;;;;;;;;;;;;;;Fain;Paris;;;;;;;;;;;;;;;;;;;"Signé Beuchot; et est relative à l'édition des OEuvres de Voltaire en cinquante volumes in-12. Se distribue aux souscripteurs et aux libraires.";;
1821;1;1821/01/06;15;173;BELLES-LETTRES;Poétique et Poésie;Français;"L'amour maternel, ou De l'avantage d'allaiter ses enfans; poëme en quatre chants, enrichi de notes médicales, critiques et historiques";J. Sarrazin, docteur de la Faculté de médecine de Paris, etc.;;"Contexte géographique;Enseignement;Santé";;;14;;224;1;In-8°;;;;;;;;;;;;;;;;;;Béraud;Paris;Paris;Barba;Paris;Delaunay;Paris;Pélicier;Paris;Petit;;;;;;;;;;;;;
1821;1;1821/01/06;16;174;BELLES-LETTRES;Poétique et Poésie;Français;Elégies, suivies de poésies diverses et de deux pièces qui ont remporté le prix, l'une à l'Académie française, l'autre aux Jeux floraux. Quatrième édition, revue, corrigée, augmentée de quatre livres, de notes historiques, et ornée de gravures;Mme Dufrenoy;Nom féminin;Épouse;;;11;;264;1;In-12;;gravures;;;5,0;;;;;;;;;;;;;Didot l'aîné;Paris;Paris;Alexis Eymery;;;;;;;;;;;;;;;;;;;
1821;1;1821/01/06;17;187;BELLES-LETTRES;Romans et Contes;Français;La Maison des bois, ou le Remords et la Vertu, anecdote du règne de Marie-Thérèse;Mme Adrienne P***;Anonyme féminin;Épouse;;;27 1/3;;656;2;In-12;;;;;;;;;;;;;;;;;;Glaçon;Mortagne;Paris;Pigoreau;;;;;;;;;;;;;;;;;;;
