Année;Livraison;Date;N° de notice;Page;Catégorie;Sous-Catégorie;Langue;Titre;Auteur;Identifiant auteur;Posture;Affichage identitaire;Traducteur;Identifiant traducteur;Para-auteur;Identifiant para-auteur;Nombre de feuilles;Fraction;Nombre de pages;Volumes;Format;Tirage 1;Illustrations 1;Nombre d'illustrations 1;Type de papier 1;Prix 1;Tirage 2;Illustrations 2;Nombre d'illustrations 2;Type de papier 2;Prix 2;Tirage 3;Illustrations 3;Nombre d'illustrations 3;Type de papier 3;Prix 3;Edition;Lieu d'édition;Imprimeur;Lieu d'impression;Lieu de vente 1;Libraire 1;Lieu de vente 2;Libraire 2;Lieu de vente 3;Libraire 3;Lieu de vente 4;Libraire 4;Lieu de vente 5;Libraire 5;Lieu de vente 6;Libraire 6;Lieu de vente 7;Libraire 7;Lieu de vente 8;Libraire 8;Lieu de vente 9;Libraire 9;Commentaires des bibliographes;Notes (e-BdF);Lien notice catalogue
1823;1;1823/01/04;1;"201;185";BELLES-LETTRES;"Polygraphes;Poétique et Poésie";Français;"Roland furieux, trad. de l'Arioste, par le comte de Tressan. Edition revue, corrigée et augmentée de notes, de sommaires et d'une table ; ornée de gravures d'après les dessins de M. Colin. Tome II";l'Arioste;http://ark.bnf.fr/ark:/12148/cb11889084c;;Noblesse;comte de Tressan;http://ark.bnf.fr/ark:/12148/cb121331932;M. Colin;M. Colin;30 1/4;;484;;In-8;;gravures;;;8;;gravures, figures avant la lettre;;grand papier vélin;18;;gravures, eaux-fortes;;;22;;;F. Didot;Paris;Paris;Nepveu;Paris;Aimé-André;;;;;;;;;;;;;;;"""Ce volume forme la cinquième livraison et le tome VI des Œuvres du comte de Tressan, précédées d'une Notice sur sa vie et ses ouvrages, par M. Campenon, de l'Académie française ; édition revue, corrigée et augmentée de notes. Les volumes II, III, IV, VIII forment les quatre premières livraisons. L'édition entière aura 12 volumes avec le portrait de l'auteur et 12 gravures ; la moitié des gravures se délivrera avec la sixième livraison, le reste avec la dernière. Chaque volume se vend aux souscripteurs inscrits avant le 1er juillet dernier, 8 fr. ; grand papier vélin, figures avant la lettre, 18 fr. ; avec les eaux-fortes, 22 fr.""";;http://ark.bnf.fr/ark:/12148/cb31493532s
1823;1;1823/01/04;2;201;BELLES-LETTRES;Polygraphes;Français;Œuvres de François-Guillaume-Jean-Stanislas Andrieux, membre de l'Institut royal de France, académie française;François-Guillaume-Jean-Stanislas Andrieux, membre de l'Institut royal de France, académie française;http://ark.bnf.fr/ark:/12148/cb11888836g;;Sociétés savantes;;;;;53 2/3;;1932;6;In-18;;1 portrait;1;1;12;;;;;;;;;;;;;F. Didot;Paris;Paris;Nepveu;;;;;;;;;;;;;;;;;"""Une édition in-8° en quatre volumes (voyez n. 5732 de 1822), se vend 26 fr.""";;http://ark.bnf.fr/ark:/12148/cb30020207r
1823;1;1823/01/04;3;198;BELLES-LETTRES;Mythologie et Fables;Français;Fables de M. Le Bailly. Quatrième édition, suivie du Gouvernement des animaux, ou l'Ours réformateur, poëme ésopique.;M. Le Bailly;http://ark.bnf.fr/ark:/12148/cb12456186f;;;;;;;23;;368;;In-8;;2 planches lithographiques;2;;8;;;;;;;;;;;;;Didot aîné;Paris;;J.-L.J. Brière;;;;;;;;;;;;;;;;;;;http://ark.bnf.fr/ark:/12148/cb30758395w
1823;1;1823/01/04;4;201;BELLES-LETTRES;Polygraphes;Français;Œuvres complètes de J. F. Regnard. Nouvelle édition, avec des variantes et des notes. Tomes V et VI.;J. F. Regnard;;;;;;;;47;;752;2;In-8;20;;;grand raisin fin;15;80;;;grand raisin vélin;26;;;;;;;;Crapelet;Paris;Paris;A. A. Renouard;Paris;Lefèvre;;;;;;;;;;;;;;;"""Ces deux volumes complètent l'édition tiré à 80 exemplaires sur grand raisin vélin, et 20 sur grand raisin fin des œuvres de Destouches et de Regnard. Chacun de ces auteurs forme 6 volumes. Chaque volume coûte, en grand raisin vélin, 26 fr. ; en grand raisin fin, 15 fr. Voyez ci-après l'article VARIÉTÉS.""";Prix par volume (JBM). Edition non trouvée dans le catalogue de la BnF (JBM).;
1823;1;1823/01/04;5;201;BELLES-LETTRES;Polygraphes;Français;"Œuvres de Fénelon, archevêque de Cambrai, publiées d'après les manuscrits originaux, et les éditions les plus correctes ; avec un grand nombre de pièces inédites. Tomes IX et XIII.";Fénelon, archevêque de Cambrai;http://ark.bnf.fr/ark:/12148/cb11886277x;;"Religion;Contexte géographique";;;;;73;;1168;2;In-8;;;;;5,5;;;;;;;;;;;;;J. A. Lebel;Paris;Paris;Lebel;;;;;;;;;;;;;;;;;"""(1822.)""
""Prix de chaque volume""
";;http://ark.bnf.fr/ark:/12148/cb33991610d
1823;1;1823/01/04;15;171;BELLES-LETTRES;Introduction;Français;"Lycée, ou Cours de littérature ancienne et moderne ; par J.-F. Laharpe. Quatrième édition. Tomes XIII, XIV, XV et XVI.";J. F. Laharpe;http://ark.bnf.fr/ark:/12148/cb119102865;;;;;;;42;;1512;4;In-18;;;;;10;;;;papier fin satiné;12,5;;;;;;;;Rignoux;Paris;Paris;Et. Ledoux;;;;;;;;;;;;;;;;;"""(1822.)""
""Ces quatre volumes forment la dernière livraison. Chaque livraison se vend 10 fr. ; papier fin des Vosges satiné, 12 fr 50c. Un Supplément en deux volumes in-18 (voyez n. 3802 de 1822), se vend 6 fr. ; papier fin des Vosges satiné, 7 fr. 50 c.""";;http://ark.bnf.fr/ark:/12148/cb30719906h
1823;1;1823/01/04;21;196;BELLES-LETTRES;Romans;Français;"Les Historiettes d’un ermite, ou Recueil instructif et amusant à l'usage des enfans. Trad. de l'anglais et orné de 6 gravures ; par le chevalier A***, traducteur des Contes de la Chaumière.";;;Anonyme masculin;"Noblesse;Métiers du livre";le chevalier A***, traducteur des Contes de la Chaumière;http://ark.bnf.fr/ark:/12148/cb116062021;;;6;;216;;In-18;;6 gravures;6;;1,5;;;;;;;;;;;;;Lefebvre;Paris;Paris;Locard et Davi;Paris;Mme Lechard;;;;;;;;;;;;;;;;;http://ark.bnf.fr/ark:/12148/cb334210333
1823;1;1823/01/04;22;198;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;"Tablettes romantiques ; recueil orné de 4 portraits inédits et d'une vignette, lithographies par MM. Colin et Boulanger";;;Compilation;;;;"M. Colin;M. Boulanger";"http://ark.bnf.fr/ark:/12148/cb144387288;http://ark.bnf.fr/ark:/12148/cb14040635v";17 1/3;;416;;In-12;;"4 portraits;1 vignette";5;;;;;;;;;;;;;;;Debusscher;Paris;Paris, rue de l'Arbre-Sec, n. 22;;Paris;Pélicier;;;;;;;;;;;;;;;"""Les portraits sont ceux de MM. Nodier, Soumet, Guiraud et Ancelot."" ";;http://ark.bnf.fr/ark:/12148/cb31577805f
1823;1;1823/01/04;23;187;BELLES-LETTRES;Théâtre;Français;"Valérie, comédie en trois actes et en prose, par MM. Scribe et Mélesville ; représentée sur leThéâtre-Français, le 21 décembre 1822";"Scribe;Mélesville";"http://ark.bnf.fr/ark:/12148/cb11924226g;http://ark.bnf.fr/ark:/12148/cb12198749p";"Collectif;Pseudonyme masculin";;;;;;5 1/2;;88;;In-8;;;;;;;;;;;;;;;;;;Fain;Paris;Paris;Ladvocat;Paris;Barba;;;;;;;;;;;;;;;;;http://ark.bnf.fr/ark:/12148/cb313409637
1823;1;1823/01/04;24;186;BELLES-LETTRES;Théâtre;Français;Etrennes dramatiques. Année 1823;;;Anonyme;;;;;;4;;32;;In-4;;"14 planches;couverture lithographiée";15;;;;;;;;;;;;;;;Everat;Paris;Paris, rue Cadet, n. 7;M. F. Weyer;;;;;;;;;;;;;;;;;;;http://ark.bnf.fr/ark:/12148/cb36406274f
1823;1;1823/01/04;29;193;BELLES-LETTRES;Romans;Français;"Michel et Christine, et la suite ; par A. Viellerglé de Saint-Alme, auteur des Deux Hector, etc.";A. Viellerglé de Saint-Alme, auteur des Deux Hector, etc.;http://ark.bnf.fr/ark:/12148/cb115799008;Pseudonyme;Métiers du livre;;;;;29;;696;3;In-12 ;;;;;;;;;;;;;;;;;;Hocquet;Paris;Paris;Pollet;;;;;;;;;;;;;;;;;;;http://ark.bnf.fr/ark:/12148/cb307954582
1823;1;1823/01/04;30;195;BELLES-LETTRES;Romans;Français;"Olivier, traduction libre de l'allemand, d'après Mme Caroline Pichler, née Greiner ; par Mme de Montolieu. Avec figure.";Mme Caroline Pichler, née Greiner;http://ark.bnf.fr/ark:/12148/cb14813127b;Nom féminin;;Mme de Montolieu;http://ark.bnf.fr/ark:/12148/cb11916670b;Mme de Montolieu;;19 1/3;;464;2;In-12;;figure;1;;;;;;;;;;;;;;;Cordier;Paris;Paris;Arthus-Bertrand;;;;;;;;;;;;;;;;;;;http://ark.bnf.fr/ark:/12148/cb311051992
1823;1;1823/01/04;31;197;BELLES-LETTRES;Romans;Français;Contes mythologiques, par Mme Sophie P***;Mme Sophie P***;http://ark.bnf.fr/ark:/12148/cb13743945s;Anonyme féminin;;;;;;20;;480;2;In-12;;;;;;;;;;;;;;;;;;F. Didot;Paris;Paris;Ladvocat;;;;;;;;;;;;;;;;;;;http://ark.bnf.fr/ark:/12148/cb310550640
1823;1;1823/01/04;33;202;BELLES-LETTRES;Polygraphes;Français;Œuvres complètes de Voltaire (Prospectus);;;Anonyme;;;;;;;;;;In-8;;;;;;;;;;;;;;;;;;Dupont;Paris;Paris;Chassériau;;;;;;;;;;;;;;;;;"""L'édition aura 70 volumes.
A dater du 15 janvier 1823, il paraîtra régulièrement chaque mois deux volumes, l'un de prose, et l'autre de poésie.
Prix de chaque volume, 5 fr. ; papier vélin, 10 fr. Après le 1er mai, les volumes seront portés à 6 fr.""";;http://ark.bnf.fr/ark:/12148/cb31602402t
1823;1;1823/01/04;34;178;BELLES-LETTRES;Poétique et Poésie;Français;"Le Parricide, poëme, suivi d'autres poésies ; par M. Jules Lefèvre";Jules Lefèvre;http://ark.bnf.fr/ark:/12148/cb12395960c;;;;;;;15;;240;;In-8;;;;;;;;;;;;;;;;;;Rignoux;Paris;Paris;Amyot;;;;;;;;;;;;;;;;;;;http://ark.bnf.fr/ark:/12148/cb307736519
1823;1;1823/01/04;35;181;BELLES-LETTRES;Poétique et Poésie;Français;"Chant guerrier sur les troubles d’Espagne ; paroles de M. Lambert, musique de M***";"Lambert;M***";"http://ark.bnf.fr/ark:/12148/cb14330622t;M***";Anonyme;;;;;;;;;;In-4;;;;;;;;;;;;;;;;;;Eberhart;Paris;Paris, rue Feydeau, n. 15;Magasin de musique;;;;;;;;;;;;;;;;;;;http://ark.bnf.fr/ark:/12148/cb39324503x
1823;1;1823/01/04;41;200;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;Les Etrennes bourbonniennes dans le diorama du Sternien, ermite de la rue Saint-Denis, Auguste Hus, filleul de la feue reine de France, épouse de S.M. Louis XVIII;Le Sternien, ermite de la rue Saint-Denis, Auguste Hus, filleul de la feue reine de France, épouse de S.M. Louis XVIII;http://ark.bnf.fr/ark:/12148/cb135986257;;"Autres;Contexte géographique";;;;;;;;;In-4;;;;;0,25;;;;;;;;;;;;;Rougeron;Paris;Paris, vis-à-vis le passage du Panorama;Libraire;;;;;;;;;;;;;;;;;;;http://ark.bnf.fr/ark:/12148/cb30630103b
1823;1;1823/01/04;48;183;BELLES-LETTRES;Poétique et Poésie;Français;Le Paysan picard, almanach chantant pour la présente année;;;Anonyme;;;;;;;;;;In-32;;;;;0,15;;;;;;;;;;;;;Stahl;Paris;Paris;Stahl;;;;;;;;;;;;;;;;;;;http://ark.bnf.fr/ark:/12148/cb423243087
1823;1;1823/01/04;61;196;BELLES-LETTRES;Romans;Français;"Juba, ou les Aventures d'un petit chien ; trad. de l'anglais, par Alph. Viollet, traducteur de la guerre d'Espagne et de Portugal, etc. Avec figure";;;Anonyme;Métiers du livre;Alph. Viollet, traducteur de la guerre d'Espagne et de Portugal, etc.;http://ark.bnf.fr/ark:/12148/cb126453339;;;4;;144;;In-18;;1 planche;1;;1,25;;;;;;;;;;;;;David;Paris;Paris;Villet;;;;;;;;;;;;;;;;;;;http://ark.bnf.fr/ark:/12148/cb334432833
1823;1;1823/01/04;63;179;BELLES-LETTRES;Poétique et Poésie;Français;"Le Dévouement des Sanquintinois, en 1557, ou le Patriotisme, ode ; par Ch. Daudeville";Ch. Daudville;http://ark.bnf.fr/ark:/12148/cb104667563;;;;;;;1;;16;;In-8;100;;;;;;;;;;;;;;;;;Tilloy;Saint-Quentin;;;;;;;;;;;;;;;;;;;"""(1822)""
""Tiré à 100.""";;http://ark.bnf.fr/ark:/12148/cb119010483
1823;1;1823/01/04;64;179;BELLES-LETTRES;Poétique et Poésie;Français;Mes souhaits du jour de l’an 1823, poëme fugitif en un chant. ;;;Anonyme;;;;;;1 1/3;;48;;In-18;;;;Papier coquille satiné;1;25;;;Papier vélin;2;25;;;Papier rose;2;;;Fain;Paris;Paris;marchands de nouveautés;;;;;;;;;;;;;;;;;"""Papier bleu, id. [tiré à 25]…….2-0";;http://ark.bnf.fr/ark:/12148/cb33484164m
1823;1;1823/01/04;65;191;BELLES-LETTRES;Théâtre;Français;"L’Amour mendiant, ou les deux Chercheurs d'esprit, pantomime-ballet en un acte, par M. Cuvelier ; musique de M. Amédée ; ballets de M. Renauzzi. Représentée au Panorama-Dramatique, le 26 décembre1822";M. Cuvelier;http://ark.bnf.fr/ark:/12148/cb12524433r;Collectif;;;;"M. Amédeé;M. Renauzzi";"Amédée;Renauzzi";1;;16;;In-8;;;;;0,5;;;;;;;;;;;;;Mme veuve Jeunehomme;Paris;Paris;Pollet;;;;;;;;;;;;;;;;;;;http://ark.bnf.fr/ark:/12148/cb30292885g
1823;1;1823/01/04;66;191;BELLES-LETTRES;Théâtre;Français;"Les Deux Baillis, ou le Mariage par procuration, comédie en un acte, en prose, par M. de Ferrière ; représentée sur le théâtre du Panorama-Dramatique, le 8 décembre 1822. ";M. de Ferrière;http://ark.bnf.fr/ark:/12148/cb12605643m;;;;;;;2 1/2;;40;;In-8;;;;;1;;;;;;;;;;;;;Nouzou;Paris;Paris;Quoy;;;;;;;;;;;;;;;;;;;http://ark.bnf.fr/ark:/12148/cb304311664
1823;1;1823/01/04;67;191;BELLES-LETTRES;Théâtre;Français;"Le Passage des Thermopyles, mimodrame en deux actes ; paroles de M. P. Villiers. Représenté sur le théâtre du Cirque-Olympique, le 26 décembre 1822";M. P. Villiers;http://ark.bnf.fr/ark:/12148/cb12529600j;;;;;;;1 1/2;;24;;In-8;;;;;0,5;;;;;;;;;;;;;Nouzou;Paris;Paris;Quoy;;;;;;;;;;;;;;;;;;;http://ark.bnf.fr/ark:/12148/cb31584622z
1823;1;1823/01/04;68;193;BELLES-LETTRES;Romans;Français;Mémoires du comte de Grammont, par Hamilton;Hamilton;http://ark.bnf.fr/ark:/12148/cb11906786s;;;;;;;7 1/4;;464;2;In-32;;2 planches;2;;;;;;;;;;;;;;;Plassan;Paris;Paris;Delongchamps;;;;;;;;;;;;;;;;;;;http://ark.bnf.fr/ark:/12148/cb30572566g
1823;1;1823/01/04;69;193;BELLES-LETTRES;Romans;Français;Œuvres complètes de Mme de Souza, revues, corrigées, augmentées, imprimées sous les yeux de l'auteur, et ornées de gravures. Tome VIe. (Mademoiselle de Tournon);Mme de Souza;http://ark.bnf.fr/ark:/12148/cb130923462;Nom féminin;;;;;;21 3/4;;348;;In-8;;"1 planche gravée;gravures";;;36;;"1 planche gravée;gravures";;papier vélin satiné;72;20;"1 planche gravée;gravures avant la lettre;eaux-fortes";;papier vélin double, satiné;100;;;Tastu;Paris;Paris;Alexis Eymery;;;;;;;;;;;;;;;;;"""Prix des 6 vol. in-8°……36-0
Papier vélin satiné…….72-0
Papier vélin double, satiné, gravures avant la lettre et eaux-fortes tiré à 20…..100-0""";;http://ark.bnf.fr/ark:/12148/cb31390682q
1823;1;1823/01/04;69;193;BELLES-LETTRES;Romans;Français;Œuvres complètes de Mme de Souza, revues, corrigées, augmentées, imprimées sous les yex de l'auteur, et ornées de gravures. Tomes XIe et XIIe. (Mademoiselle de Tournon);Mme de Souza;http://ark.bnf.fr/ark:/12148/cb130923462;Nom féminin;;;;;;14 3/4;;354;2;In-12;;"1 planche gravée;gravures";;;;;;;;;;;;;;;;Tastu;Paris;Paris;Alexis Eymery;;;;;;;;;;;;;;;;;"""Les 12 volumes in-12…..32-0""";Edition non trouvée sur le catalogue de la BnF (JBM).;
1823;1;1823/01/04;70;196;BELLES-LETTRES;Romans;Français;Contes de mon hôte, recueillis et mis au jour par Jedediah Cleisbotham, maître d'école et sacristain de la paroisse de Gandez-Cleugh. Tome Ve et VIe;Jedediah Cleisbotham, maître d'école et sacristain de la paroisse de Gandez-Cleugh;;Compilation;"Enseignement;Religion;Contexte géographique";;;Jedediah Cleisbotham, maître d'école et sacristain de la paroisse de Gandez-Cleugh;http://ark.bnf.fr/ark:/12148/cb11924221r;65 1/2;;1048;2;In-8;;;;;6;;;;;;;;;;;;;Rignoux;Paris;Paris;Gosselin;;;;;;;;;;;;;;;;;"""Prix de chaque volume""
""Les faux-titres portent : Œuvres complètes de sir Walter Scott, tomes XVI et XVII."" ";;http://ark.bnf.fr/ark:/12148/cb313392638
1823;1;1823/01/04;76;193;BELLES-LETTRES;Romans;Français;Histoire de Mme Ciruela, ou la Victime;;;Anonyme;;;;;;9 1/3;;224;;In-12;;;;;;;;;;;;;;;;;;J.L. Chanson;Paris;Paris;marchands de nouveautés;;;;;;;;;;;;;;;;;"""(1822)""";"La BnF écrit ""Cirnéla"" (JBM).";http://ark.bnf.fr/ark:/12148/cb334179910
1823;1;1823/01/04;79;183;BELLES-LETTRES;Poétique et Poésie;Français;Recueil de chansons et poésies diverses;;;Anonyme;;;;;;1 1/3;;32;;In-12;;;;;;;;;;;;;;;;;;Renaudière;Paris;Paris;marchands de nouveautés;;;;;;;;;;;;;;;;;;;http://ark.bnf.fr/ark:/12148/cb33568580p
1823;1;1823/01/04;80;197;BELLES-LETTRES;Mythologie et Fables;Français;"Le Fabuliste des demoiselles, précédé d'un exercice sur l'apologue ; par Charles-Constant Le Tellier, professeur de belles lettres.";Charles-Constant Letellier, professeur de belles lettres;http://ark.bnf.fr/ark:/12148/cb13005487s;;Enseignement;;;;;7;;252;;In-18;;1 planche;1;;;;;;;;;;;;;;;Gratiot;Paris;Paris;Constant Le Tellier;;;;;;;;;;;;;;;;;;Edition non trouvée sur le catalogue de la BnF (JBM).;
1823;1;1823/01/04;81;177;BELLES-LETTRES;Poétique et Poésie;Français;Le jeu de la Sphinxiade, petit poëme logogni-énigmatique. Etrennes pour 1823. Première année;;;Anonyme;;;;;;3;;108;;In-18;;;;;2,5;;;;;;;;;;;;;Everat;Paris;Paris;L. G. Michaud;;;;;;;;;;;;;;;;;;;http://ark.bnf.fr/ark:/12148/cb33441267c
1823;1;1823/01/04;82;178;BELLES-LETTRES;Poétique et Poésie;Français;Messéniennes et poésies diverses, par M. Casimir Delavigne. Sixième édition;Casimir Delavigne;http://ark.bnf.fr/ark:/12148/cb12052639n;;;;;;;5;;180;;In-18;;4 planches;4;;;;;;;;;;;;;;;Firmin Didot;Paris;Paris;Ladvocat;;;;;;;;;;;;;;;;;;Edition non trouvée sur le catalogue de la BnF (JBM).;
1823;1;1823/01/04;83;202;BELLES-LETTRES;Polygraphes;Français;Voltaire. Edition Touquet, tome LVIII. Correspondance générale, tome VI;Voltaire;http://ark.bnf.fr/ark:/12148/cb11928669t;Pseudonyme;;;;;;19 3/4;;474;;In-12;;;;;;;;;;;;;;;;;;Laurens aîné;Paris;Paris;Touquet;;;;;;;;;;;;;;;;;"""y compris 12 pages intitulées : 
A MM. Les souscripteurs sur cette publication de la LXIV livraison de Voltaire.""
""C'est le LXIVe volume dans l'ordre de publication. Il est daté du 26 décembre 1822. Il contient la Correspondance générale du 5 janvier 1758 à septembre 1760.""";;http://ark.bnf.fr/ark:/12148/cb31602398d
1823;1;1823/01/04;102;177;BELLES-LETTRES;Poétique et Poésie;Latin;In recentem scholæ normalis occasum, ode;Moreau de Champlieux;http://ark.bnf.fr/ark:/12148/cb10632741t;;;;;;;;;;;In-8;;;;;;;;;;;;;;;;;;Setier;Paris;;;;;;;;;;;;;;;;;;;"""Par Moreau de Champlieux""";;http://ark.bnf.fr/ark:/12148/cb30977218p
1823;1;1823/01/04;103;177;BELLES-LETTRES;Poétique et Poésie;Latin;Juliani qui natus XVIII Kal. Oct. MDCCXLVII in Galliam confugit pridie Kal. Oct. MDCCCIX, colloquium cum Musis;Julianus Vindobonensis;http://ark.bnf.fr/ark:/12148/cb10569755n;;;;;;;2 1/2;;20;;In-4;;;;;;;;;;;;;;;;;;Delalain;Paris;;;;;;;;;;;;;;;;;;;;;http://ark.bnf.fr/ark:/12148/cb30666982r
1823;1;1823/01/04;105;198;BELLES-LETTRES;Philologie, Critique, Mélanges;Espagnol;Filosofia de Voltaire, traducida al espanol;Voltaire;http://ark.bnf.fr/ark:/12148/cb11928669t;Pseudonyme;;;;;;9 3/4;;;;In-18;;;;;13;;;;;;;;;;;;;Belin;Paris;Paris;Bossange père;Paris;Bossange frères;;;;;;;;;;;;;;;"""Les ouvrages de Voltaire, dont ce volume contient la traduction, sont :
I. Le Poëme sur la loi naturelle.
II. Le Poëme  sur le désastre de Lisbonne.
III. Il faut prendre un parti, ou le Principe d'action. 
IV. Idées républicaines, par un citoyen de Genève. 
V. Les Droits des hommes, etc.
Vi. De la Paix perpétuelle, par le docteur Goodheart. 
VII. Fragment des instructions pour le prince royal de ***.
VIII. Le Cri des nations.""";;http://ark.bnf.fr/ark:/12148/cb31602661w
1823;2;1823/01/11;110;192;BELLES-LETTRES;Théâtre;Français;"Œuvres dramatiques de J. W. Goethe, traduites de l'allemand ; précédées d'une notice biographique et littéraire sur Goëthe. Tome IV.";J. W. Goethe;http://ark.bnf.fr/ark:/12148/cb11905269k;;;;;;;24;;384;;In-8;;;;;6;;;;;;;;;;;;;Bobée;Paris;Paris;Bobée;;;;;;;;;;;;;;;;;"""Pour les souscripteurs…. 5-0""
""C'est le IIIe volume dans l'ordre de publication (voyez Nos 4579 de 1821 et 616 de 1822). Il contient Faust, tragédie avec intermèdes ; la Manie du sentiment, fantaisie en six actes ; et le Frère et la sœur, pièce en un acte.""";Edition non trouvée sur le catalogue de la BnF (JBM).;
1823;2;1823/01/11;112;202;BELLES-LETTRES;Epistolaires;Français;L’Ancienne Héloïse, manuscrit nouvellement retrouvé de lettres inédites d'Abailard et d'Héloïse, traduits par De Longchamps, et publiées avec des notices historiques par M. A. de Puyberland;"Abailard;Héloïse";"http://ark.bnf.fr/ark:/12148/cb11885557w;http://ark.bnf.fr/ark:/12148/cb11907201f";"Collectif;Nom féminin;Pseudonyme";;de Longchamps;http://ark.bnf.fr/ark:/12148/cb107121788;M. A. de Puyberland;http://ark.bnf.fr/ark:/12148/cb124785168;46;;736;2;In-8;;;;;10;;;;;;;;;;;;;Dentu;Paris;Paris;Dentu;;;;;;;;;;;;;;;;;"""Ouvrage posthume.""";;http://ark.bnf.fr/ark:/12148/cb30000182t
1823;2;1823/01/11;114;201;BELLES-LETTRES;Polygraphes;Français;Œuvres complètes de Buffon. Nouvelle édition, publiée par H. R. Duthillœul. Tome I, II, III, IV, V et VII.;Buffon;http://ark.bnf.fr/ark:/12148/cb11894464v;;;;;H. R. Duthillœul;http://ark.bnf.fr/ark:/12148/cb11901438w;185 1/2;;2968;6;In-8;;Planches;;;;;;;;;;;;;;;;Wagrez aîné;Douai;Douai;Tarlier;;;;;;;;;;;;;;;;;"""Il y aura douze volumes qui sont du prix de 60 fr.""";;http://ark.bnf.fr/ark:/12148/cb301742115
1823;2;1823/01/11;115;201;BELLES-LETTRES;Polygraphes;Français;Œuvres complètes de Pothier. Nouvelle édition. Tomes XIII et XIV;Pothier;http://ark.bnf.fr/ark:/12148/cb125109527;;;;;;;66;;1056;2;In-8;;;;;3;;;;;;;;;;;;;Didot aîné;Paris;Paris;Thomine et Fortic;;;;;;;;;;;;;;;;;"""Prix de chaque volume""";;http://ark.bnf.fr/ark:/12148/cb31140148s
1823;2;1823/01/11;118;202;BELLES-LETTRES;Polygraphes;Français;Œuvres complètes de Voltaire, tome LIIIe. Théâtre, tome IV;Voltaire;http://ark.bnf.fr/ark:/12148/cb11928669t;Pseudonyme;;;;;;31;;496;;In-8;;;;;;;;;;;;;;;;;;Jacob;Versailles ;Paris;J. Esneaux;;;;;;;;;;;;;;;;;"""C'est le XXVIIIe volume dans l'ordre de publication""";;http://ark.bnf.fr/ark:/12148/cb31602392b
1823;2;1823/01/11;119;178;BELLES-LETTRES;Poétique et Poésie;Français;"Le Mausolée d’Agnès Sorel, poëme en douze chants, suivi de notes historiques, anecdotiques, politiques et critiques ; par M. de Sales. Seconde édition, publiée par sir Politick, esq. naturalisé français, membre de toutes les académies et sociétés littéraires de l'Europe ";M. de Sales;http://ark.bnf.fr/ark:/12148/cb12462949p;;"Noblesse;Sociétés savantes;Contexte géographique";;;sir Politick, esq. naturalisé français, membre de toutes les académies et sociétés littéraires de l'Europe ;Politick;18 1/4;;292;;In-8;;une vignette;1;;;;;;;;;;;;;;;Pillet aîné;Paris;Paris;Pillet aîné ;;;;;;;;;;;;;;;;;;;http://ark.bnf.fr/ark:/12148/cb31287208h
1823;2;1823/01/11;120;181;BELLES-LETTRES;Poétique et Poésie;Français;Odes, par Victor-M. Hugo. Deuxième édition, augmentée de deux odes nouvelles;Victor-M. Hugo;http://ark.bnf.fr/ark:/12148/cb11907966z;;;;;;;6 9/16;;;;In-18;;;;;;;;;;;;;;;;;;Debuscher;Paris;Paris, rue de l'Arbre-Sec, n. 22;;Paris;Pélicier;;;;;;;;;;;;;;;"""Ce volume contient 26 odes (voy. N. 2711 de 1822). Les deux odes ajoutées sont les Ve et XXVIe.""";;http://ark.bnf.fr/ark:/12148/cb32263200h
1823;2;1823/01/11;121;183;BELLES-LETTRES;Poétique et Poésie;Français;Les Loisirs d’Apollon;;;Anonyme;;;;;;;;;;In-32;;planches;;;;;;;;;;;;;;;;Moronval;Paris;Paris;Marcilly fils aîné;;;;;;;;;;;;;;;;;;;http://ark.bnf.fr/ark:/12148/cb33464409w
0;2;1823/01/11;122;183;BELLES-LETTRES;Poétique et Poésie;Français;"Chansonnier des Variétés, ou Choix de couplets chantés à ce théâtre ; pour l'an 1823";;;Anonyme;;;;;;6 1/2;;234;;In-18;;1 planche lithographiée;1;;;;;;;;;;;;;;;Imbert;Paris;Paris;Daubrée;;;;;;;;;;;;;;;;;;;http://ark.bnf.fr/ark:/12148/cb38725821g
1823;2;1823/01/11;123;192;BELLES-LETTRES;Théâtre;Français;"Œuvres dramatiques de F. Schiller ; traduites de l'allemand. Tome VIe";F. Schiller;http://ark.bnf.fr/ark:/12148/cb11887510q;;;;;;;10 1/4;;;;In-18;;;;;;;;;;;;;;;;;;Cosson;Paris;Paris;Brissot-Thivars;;;;;;;;;;;;;;;;;"""(1822)""
""Le faux-titre porte : Répertoire des théâtres étrangers, tome XXVI.""";;http://ark.bnf.fr/ark:/12148/cb31315064p
1823;2;1823/01/11;124;187;BELLES-LETTRES;Théâtre;Français;"Le Célibataire et l’homme marié, comédie en trois actes et en prose ; représentée sur le second théâtre français, le 16 décembre 1822. Par MM. Wafflard et Fulgence.";"M. Wafflard;M. Fulgence";"http://ark.bnf.fr/ark:/12148/cb11991063v;http://ark.bnf.fr/ark:/12148/cb11996143q";"Collectif;Pseudonyme masculin";;;;;;5;;80;;In-8;;;;;2;;;;;;;;;;;;;Hocquet;Paris;Paris;Barba;;;;;;;;;;;;;;;;;;;http://ark.bnf.fr/ark:/12148/cb41884380x
