Année;Livraison;Date;N° de notice;Page;Catégorie;Sous-Catégorie;Langue;Titre;Auteur;Identifiant auteur;Posture;Affichage identitaire;Traducteur;Identifiant traducteur;Para-auteur;Identifiant para-auteur;Nombre de feuilles;Fraction;Nombre de pages;Volumes;Format;Tirage 1;Illustrations 1;Nombre d'illustrations 1;Type de papier 1;Prix 1;Tirage 2;Illustrations 2;Nombre d'illustrations 2;Type de papier 2;Prix 2;Tirage 3;Illustrations 3;Nombre d'illustrations 3;Type de papier 3;Prix 3;Edition;Lieu d'édition;Imprimeur;Lieu d'impression;Lieu de vente 1;Libraire 1;Lieu de vente 2;Libraire 2;Lieu de vente 3;Libraire 3;Lieu de vente 4;Libraire 4;Lieu de vente 5;Libraire 5;Lieu de vente 6;Libraire 6;Lieu de vente 7;Libraire 7;Lieu de vente 8;Libraire 8;Lieu de vente 9;Libraire 9;Commentaires des bibliographes;Notes (e-BdF);Lien notice catalogue
1823;45;1823/11/08;4809;186;BELLES-LETTRES;Théâtre;Français;Réflexions sur les comités dramatiques de lecture et sur l'établissement d'un nouveau comité de lecture à l'Opéra-Comique;;;Anonyme;;;;;;1 1/2;;24;;In-8°;;;;;;;;;;;;;;;;;;Mme Porthmann;;Paris;Ladvocat;;;;;;;;;;;;;;;;;;;
1823;45;1823/11/08;4817;186;BELLES-LETTRES;Théâtre;Français;Almanach des Spectacles;K Y. Z.;;Anonyme;;;;;;4;;144;;In-18;;10 planches;10;;4,5;;;;;;;;;;;;;Richomme;;Paris;L. Janet;;;;;;;;;;;;;;;;;"""et un titre imprimé""";;
1823;45;1823/11/08;4818;183;BELLES-LETTRES;Poétique et Poésie;Français;Rossini français;;;Anonyme;;;;;;3;;108;;In-18;;6 planches, un frontispice, 48 pages de musique;55;;4;;;;;;;;;;;;;J. Didot aîné;;Paris;L. Janet;;;;;;;;;;;;;;;;;;;
1823;45;1823/11/08;4819;199;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;Miroir des modes parisiennes;;;;;;;;;5;;180;;In-18;;6 planches et un frontispice gravé;7;;5;;;;;;;;;;;;;J. Didot aîné;;Paris;L. Janet;;;;;;;;;;;;;;;;;;;
1823;45;1823/11/08;4820;185;BELLES-LETTRES;Poétique et Poésie;Français;Paradis perdu, traduit par J. Delille. Nouvelle édition, revue et corrigée.;;;Anonyme;;J. Delille;;;;17 5/6;;642;2;In-18;;;;;;;;;;;;;;;;;;Herhan;;Paris;L. G. Michaud;;;;;;;;;;;;;;;;;Edition stéréotype. Les faux-titres portent : Oeuvres de J. Delille. (Tomes VII et VIII.);;
1823;45;1823/11/08;4829;201;BELLES-LETTRES;Polygraphes;Français;Oeuvres de Buffon, avec les suites données par divers naturalistes célèbres, édition dite de Sonnini. Publication de la sixième livraison. (Annonce.);;;Anonyme;;;;;;0 1/4;;4;;In-8°;;;;;;;;;;;;;;;;;;Lebel;;Paris;A. Bertrand;;;;;;;;;;;;;;;;;Cette livraison se compose des tomes 8, 25, 42 et 110. V. no 3405.;;
1823;45;1823/11/08;4840;192;BELLES-LETTRES;Théâtre;Français;"Otello, ou le More de Venise, opéra en trois actes, d'après les drames anglais, français et italien; paroles de Castil-Blaze, musique de Rossini ; représenté pour la première fois, à Lyon, par les comédiens du grand théâtre, sous la direction de M. A. Singier, le 1er décembre 1823. Cette pièce est la neuvième dans le répertoire de M. Castil-Blaze. Les numéros 4, 5, 7 n'ont pas encore paru.";Castil-Blaze;;;;;;"Rossini;M. A. Singier";;3;;48;;In-8°;;;;;;;;;;;;;;;;;;Hocquet;;Paris, rue du Faubourg-Montmartre, n. 9;Castil-Blaze;;;;;;;;;;;;;;;;;Cette pièce est la neuvième dans le répertoire de M. Castil-Blaze. Les numéros 4, 5, 7 n'ont pas encore paru.;;
1823;45;1823/11/08;4841;187;BELLES-LETTRES;Théâtre;Français;Pierre de Portugal, tragédie en cinq actes. Représentée sur le premier ThéâtreFrançais le 21 octobre 1823;M. Lucien Arnault, auteur de Regulus;;;Métiers du livre;;;;;6 1/4;;100;;In-8°;;;;;;;;;;;;;;;;;;C. Chantpie;;Paris;Barba;;;;;;;;;;;;;;;;;;;
1823;45;1823/11/08;4842;187;BELLES-LETTRES;Théâtre;Français;Oeuvres complètes de Molière, revues avec soin sur les différentes éditions, précédées d'une nouvelle vie de Molière, et d'un tableau chronologique et historique de ses pièces. Par P. R. Auguis. Tomes I et VIII.;Molière;;Pseudonyme;;;;P. R. Auguis;;15 8/9;;572;2;In-18;;un portrait;1;;;;;;;;;;;;;;;F. Didot;;Paris;Froment;;;;;;;;;;;;;;;;;Les faux-titres portent: Collection des classiques français. Je n'ai pas aperçu dans le premier volume le Tableau chronologique et historique des pièces de Molière.;;
1823;45;1823/11/08;4843;174;BELLES-LETTRES;Rhétorique et Eloquence;Français;Apologie de Socrate, d'après Platon, édition collationnée sur les textes les plus purs. Procédé stéréotype de MM. le marquis de Paroy et Durouchail;;;Anonyme;;;;;;2 1/3;;56;;In-12;;;;;;;;;;;;;;;;;;Cosson;;Paris;Lesage;;;;;;;;;;;;;;;;;;;
