Année;Livraison;Date;N° de notice;Page;Catégorie;Sous-Catégorie;Langue;Titre;Auteur;Posture;Affichage identitaire;Traducteur;Para-auteur;Nombre de feuilles;Fraction;Nombre de pages;Nombre de volumes;Format;Tirage 1;Illustrations 1;Nombre d'illustrations 1;Type de papier 1;Prix 1;Tirage 2;Illustrations 2;Nombre d'illustrations 2;Type de papier 2;Prix 2;Tirage 3;Illustrations 3;Nombre d'illustrations 3;Type de papier 3;Prix 3;Edition;Lieu d'édition;Imprimeur;Lieu d’impression;Lieu de vente 1;Libraire 1;Lieu de vente 2;Libraire 2;Lieu de vente 3;Libraire 3;Lieu de vente 4;Libraire 4;Lieu de vente 5;Libraire 5;Lieu de vente 6;Libraire 6;Lieu de vente 7;Libraire 7;Lieu de vente 8;Libraire 8;Lieu de vente 9;Libraire 9;Commentaires des bibliographes;Notes (e-BdF);Lien notice catalogue
1832;1;1832/01/07;7;204;BELLES-LETTRES;Théâtre;Français;"L'Art de payer ses dettes, comédie-vaudeville en un acte ; représentée sur le théâtre du Vaudeville le 10 décembre 1831.";"M. Mélesville;M. Varner";Collectif;;;;2 1/2;;40;;in-8°;;;;;1,50;;;;;;;;;;;;;David;Paris;Paris;Riga;;;;;;;;;;;;;;;;;;;
1832;1;1832/01/07;11;209;BELLES-LETTRES;Romans et Contes;Français;Les aventures de Télémaque. Suivies d'un dictionnaire mythologique et géographique, et collationnées sur les meilleures éditions.;Fénelon;;;;;22 1/3;;536;;in-12;;;;;;;;;;;;;;;;;;Busseuil;Nantes;Nantes;Suireau et Plihon;;;;;;;;;;;;;;;;;;;
1832;1;1832/01/07;12;213;BELLES-LETTRES;Romans et Contes;Français;Aventures surprenantes et extraordinaires du fameux Robert-le-Diable.;;Anonyme;;;;0 1/4;;4;;in-8°;;;;;;;;;;;;;;;;;;Sétier;Paris;Paris, rue Dauphine, n. 4;;;;;;;;;;;;;;;;;;;;
1832;1;1832/01/07;13;200;BELLES-LETTRES;Poétique et Poésie;Français;Chanson patriotique.;;Anonyme;;;;0 1/4;;4;;in-8°;;;;;;;;;;;;;;;;;;Groc;Castelnaudary;;;;;;;;;;;;;;;;;;;;;
1832;1;1832/01/07;14;"217;204";BELLES-LETTRES;"Théâtre;Polygraphes";Français;Chefs-d'oeuvre dramatiques de Voltaire. Tome quatrième (et dernier).;Voltaire;Pseudonyme;;;;6;;216;;in-18;;;;;0,65;;;;;;;;;;;;;Marchand-Dubreuil;Paris;Paris, rue St.-Jacques n. 136;Hiard;;;;;;;;;;;;;;;;;147e livraison de la Bibliothèque des amis des lettres.;;
1832;1;1832/01/07;21;196;BELLES-LETTRES;Poétique et Poésie;Français;La croix renversée.;Henri du C***;Anonyme masculin;;;;0 1/2;;12;;in-12;;;;;;;;;;;;;;;;;;Brunet;Lyon;Lyon;Sauvignet;;;;;;;;;;;;;;;;;En vers. Extrait de la Revue provinciale.;;
1832;1;1832/01/07;30;195;BELLES-LETTRES;Poétique et Poésie;Français;Les ditz et ventes d'amours.;;Anonyme;;;;0 1/2;;16;;in-16;42;;;;;;;;;;;;;;;;;Pinard;Paris;Paris;Silvestre;;;;;;;;;;;;;;;;;Imprimé en caractères gothiques, et tiré à 42 exemplaires.;;
1832;1;1832/01/07;34;215;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;L'émeraude, morceaux choisis de littérature moderne.;;Compilation;;;;6 1/3;;228;;in-18;;;;;;;;;;;;;;;;;;Auffray;Paris;Paris, rue du Bac, n. 104;Urbain Canel et Guyot;;;;;;;;;;;;;;;;;;;
1832;1;1832/01/07;35;205;BELLES-LETTRES;Théâtre;Français;"L'enfance de Louis XII, ou la Correction de nos pères, comédie-vaudeville en un acte; représentée sur le théâtre du Palais-Royal le 10 décembre 1831.";"M. Mélesville;M. Simonnin";Collectif;;;;2 1/2;;40;;in-8°;;;;;1,50;;;;;;;;;;;;;David;Paris;Paris;Riga;;;;;;;;;;;;;;;;;;;
1832;1;1832/01/07;37;217;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;Etrennes à un ex-ambassadeur.;la contemporaine;Pseudonyme féminin;Autres;;;1;;16;;in-8°;;;;;1,0;;;;;;;;;;;;;Fain;Paris;Paris, au Palais-Royal;Levavasseur;;;;;;;;;;;;;;;;;En prose.  L'ex-ambassadeur est M. de Châteaubriand.;;
1832;1;1832/01/07;39;200;BELLES-LETTRES;Poétique et Poésie;Français;Les étrennes de M. Mayeux.;;Anonyme;;;;0 1/4;;8;;in-16;;;;;;;;;;;;;;;;;;Sétier;Paris;;;;;;;;;;;;;;;;;;;Contient cinq chansons.;;
1832;1;1832/01/07;41;199;BELLES-LETTRES;Poétique et Poésie;Français;Etrennes lyriques et nationales.;Constans;;;;;1;;8;;in-4°;;;;;;;;;;;;;;;;;;Pihan Delaforest Morinval;Paris;;;;;;;;;;;;;;;;;;;"Plus la couverture. Contient quatre pièces en vers libres : 1° Au roi ; 2° A la reine ; 3° Au duc d'Orléans ; 4° A Mme Adelaïde.";;
