Année;Livraison;Date;N° de notice;Page;Catégorie;Sous-Catégorie;Langue;Titre;Auteur;Posture;Affichage identitaire;Traducteur;Para-auteur;Nombre de feuilles;Fraction;Nombre de pages;Nombre de volumes;Format;Tirage 1;Illustrations 1;Nombre d'illustrations 1;Type de papier 1;Prix 1;Tirage 2;Illustrations 2;Nombre d'illustrations 2;Type de papier 2;Prix 2;Tirage 3;Illustrations 3;Nombre d'illustrations 3;Type de papier 3;Prix 3;Edition;Lieu d'édition;Imprimeur;Lieu d’impression;Lieu de vente 1;Libraire 1;Lieu de vente 2;Libraire 2;Lieu de vente 3;Libraire 3;Lieu de vente 4;Libraire 4;Lieu de vente 5;Libraire 5;Lieu de vente 6;Libraire 6;Lieu de vente 7;Libraire 7;Lieu de vente 8;Libraire 8;Lieu de vente 9;Libraire 9;Commentaires des bibliographes;Notes (e-BdF);Lien notice catalogue
1820;1;1820/01/01;3;179;BELLES-LETTRES;Polygraphes;Français;Oeuvres complètes de Voltaire (Ve livraison. Tomes XI, XII et XXII).;Voltaire;Pseudonyme;;;Moreau;88;;1408;3;in-8°;;6 gravures;6;;30;;6 gravures;6;satiné;31,5;;;;;;;;Crapelet;Paris;Paris;A. A. Renouard;;;;;;;;;;;;;;;;;"Ces volumes appartiennent à l'édition en 60 volumes in-8°, avec 160 figures de Moreau, et contiennent, savoir: le tome XI, les Epitres et Stances; le tome XII, les Contes, Satires et Poésies mélées; le tome XXII, les Annales de l'empire. Le 1er mars, jour de la publication de la sixième livraison, chacune des six alors publiées sera augmentée de 4 fr., et ainsi de suite pour chacune des suivantes.";;
1820;1;1820/01/01;4;179;BELLES-LETTRES;Polygraphes;Français;Œuvres de J. J. Rousseau, avec des Notes historiques (IVe livraison. Tomes VII, XIV, XV et XVI);J. J. Rousseau;;;;;125 1/2;;2008;4;in-8°;;planches;;;24,0;;;;;;;;;;;;;Crapelet;Paris;Paris;Lefèvre;;;;;;;;;;;;;;;;;"Ces volumes appartiennent à l'édition en 22 vol. in-8°, et contiennent, savoir: le tome VII, les trois dernières parties de la Nouvelle Héloïse, les Amours de milord Edouard Boston, et les Observations de J. J. Rousseau sur les retranchemens que M. de Malesherbes voulait qu'on fît à la Nouvelle Héloïse, les Sujets d'estampes; les tomes XIV et XV, le Dictionnaire de musique; le tome XVI, la Déclaration relative à M. le pasteur Vernes, et Rousseau juge de Jean-Jacques.";;
1820;1;1820/01/01;5;179;BELLES-LETTRES;Polygraphes;Français;"Œuvres complètes de J. J. Rousseau, citoyen de Genève. Edition ornée de gravures. Tome XIV. - Mélanges; tome II (littérature variée.)";J. J. Rousseau, citoyen de Genève;Anonyme;Contexte géographique;;V. D. M.;27 1/3;;656;;in-12;;dix gravures.;10;;3,5;;;;papier vélin;7;;;;;;;;Cellot;Paris;Paris;Mme veuve Perronneau;Paris;Guillaume;;;;;;;;;;;;;;;"Ce volume appartient à l'édition en 22 vol. in-12, il contient 1° un Avis des nouveaux éditeurs (signé V. D. M.); 2º les Pièces de théâtre et vers; 3º les Mélanges en prose.";;
1820;1;1820/01/01;7;179;BELLES-LETTRES;Polygraphes;Français;Œuvres complètes de Marmontel, de l'Académie française. Nouvelle édition. Tomes VII et IX (formant la huitième livraison);"Marmontel, de l'Académie française;Voltaire";Collectif;"Contexte géographique;Sociétés savantes";;;42 1/2;;1020;2;in-12;;;;;5,0;;;;;;;;;;;;;Fain;Paris;Paris;Costes;;;;;;;;;;;;;;;;;"Le tome VII contient Bélisaire, les pièces y relatives et la Correspondance de Marmontel avec Voltaire, etc.; le tome IX contient Denis-le-Tyran, tragédie; Aristomène, idem; Cléopâtre, idem; les Héraclides, idem; Numitor, idem; Didon, opéra; Pénélope, Zémire et Azor, l'Ami de la maison, Lucile, le Huron, Silvain, la Fausse magie et Agar et Ismaël. L'édition entière aura 18 volumes, il en paraît 16.";;
1820;1;1820/01/01;8;"178;179";BELLES-LETTRES;Polygraphes;Français;"Collection des meilleurs ouvrages de la langue française ; dédiée aux amateurs de l'art typographique ou d'éditions soignées et correctes. (Tomes XLVIII et XLIX) - Œuvres de J. F. Regnard. Tomes I et II";J. F. Regnard;;;;;51 1/2;;824;2;in-8°;;;;;9,0;;;;papier fin;15;;;;papier vélin;30;;;P. Didot;Paris;Paris;P. Didot aîné;;;;;;;;;;;;;;;;;"Le tome premier contient la Notice sur Regnard, le Catalogue des comédies de Regnard, la Sérénade, le Bal, le Joueur, le Distrait, Attendez-moi sous l'orme; le tome II, Démocrite, le Retour imprévu, les Folies amoureuses (précédées du Prologue); les Ménechmes (précédés de l'Épitre à Despréaux et du Prologue).";;
1820;1;1820/01/01;9;167;BELLES-LETTRES;Théâtre;Français;"Olimpie, tragédie-lyrique en trois actes, imitée de Voltaire; représentée pour la première fois sur le théâtre de l'Académie royale de musique, le 20 décembre 1819";;Anonyme;;;;4;;64;;in-8°;;;;;2,0;;;;;;;;;;;;;P. Didot aîné;Paris;Paris;Roullet;;;;;;;;;;;;;;;;;;;
1820;1;1820/01/01;10;168;BELLES-LETTRES;Théâtre;Français;"La somnambule, comédie-vaudeville en deux actes; représentée sur le théâtre du Vaudeville, le 6 décembre 1819";"M. Eugène Scribe;M. G. Delavigne";Collectif;;;;2 3/4;;44;;in-8°;;;;;2,0;;;;;;;;;;;;;Porthmann;Paris;Paris;Mme Huet;;;;;;;;;;;;;;;;;;;
1820;1;1820/01/01;11;169;BELLES-LETTRES;Théâtre;Français;"M. Furet, ou l'Homme aux secrets, comédie en un acte et en prose, mêlée de couplets; représentée sur le théâtre des Variétés, le 15 novembre 1819";"M. Brazier;M. Lafontaine;M. ****";"Collectif;Anonyme masculin";;;;2;;32;;in-8°;;;;;1,25;;;;;;;;;;;;;Porthmann;Paris;Paris;Mme Huet;;;;;;;;;;;;;;;;;;;
1820;1;1820/01/01;12;169;BELLES-LETTRES;Théâtre;Français;"Destouches, ou le Philosophe marié, comédie mêlée de couplets; représentée sur le théâtre des Variétés, le 3 décembre 1819";"M. P. Ledoux;M. ***";"Collectif;Anonyme masculin";;;;2 1/4;;36;;in-8°;;;;;1,25;;;;;;;;;;;;;Porthmann;Paris;Paris;Mme Huet;;;;;;;;;;;;;;;;;;;
1820;1;1820/01/01;13;168;BELLES-LETTRES;Théâtre;Français;"Les vêpres odéoniennes, parodie des vêpres siciliennes; représentée sur le théâtre des Variétés, le 22 novembre 1819";"M. Simonnin;M. Armand";"Collectif;Pseudonyme masculin";;;;2;;32;;in-8°;;;;;1,25;;;;;;;;;;;;;Porthmann;Paris;Paris;Mme Huet-Masson;;;;;;;;;;;;;;;;;;;
1820;1;1820/01/01;14;168;BELLES-LETTRES;Théâtre;Français;"Monsieur Touche-à-Tout, comédie-vaudeville en un acte; représenté sur le théâtre du Vaudeville, le 8 septembre 1819";MM. ***;"Collectif;Anonyme masculin";;;;2 3/4;;44;;in-8°;;;;;1,0;;;;;;;;;;;;;Chaignieau fils;Paris;Paris;Barba;;;;;;;;;;;;;;;;;;;
1820;1;1820/01/01;15;167;BELLES-LETTRES;Théâtre;Français;Le Musée des théâtres;;Anonyme;;;;5;;180;;in-18;;12 gravures;12;;5,0;;;;;;;;;;;;;F. Didot;Paris;Paris;Lefuel;Paris;Delaunay;;;;;;;;;;;;;;;;;
1820;1;1820/01/01;16;162;BELLES-LETTRES;Poétique et Poésies;Français;Epître au roi;un ex-directeur principal des hôpitaux militaires;Pseudonyme masculin;"Armée et maintien de l'ordre;Santé";;;1;;8;;in-4°;;;;;;;;;;;;;;;;;;Egron;Paris;;;;;;;;;;;;;;;;;;;En vers.;;
1820;1;1820/01/01;17;163;BELLES-LETTRES;Poétique et Poésies;Français;Chansons et poésies légères;P. Emile Debraux;;;;;1;;36;;in-18;;;;;;;;;;;;;;;;;;Denugon;Paris;;;;;;;;;;;;;;;;;;;Paginé I a VII et 199-226. Voyez numéro 4053 de 1819.;;
1820;1;1820/01/01;18;161;BELLES-LETTRES;Poétique et Poésies;Français;"Dieu; ode, suivie d'un Sonnet et d'une Romance sur le même sujet; avec une Elégie sur l'anniversaire de Marie-Antoinette, reine de France";J. Mi. Jus .-Aris. d'Gallia;;;;;1;;16;;in-8°;;;;;;;;;;;;;;;;;;Brasseur aîné;Paris;Paris;Pillet aîné;;;;;;;;;;;;;;;;;;;
1820;1;1820/01/01;19;162;BELLES-LETTRES;Poétique et Poésies;Français;Epîtres libérales en vers, ou Satires (comme on voudra) à mes souliers, aux arts, à rien;A. A. de Beaufort-Dauberval, auteur de plusieurs ouvrages imprimés en France et chez l'étranger, entre autres de deux volumes in-8° de Contes érotico-philosophiques, dont la seconde édition se prépare à Londres;;"Contexte géographique;Métiers du livre";;;1 3/4;;28;;in-8°;;;;;;;;;;;;;;;;;;Patris;Paris;Paris;tous les marchands de nouveautés;Paris, rue Bourbon-Villeneuve;chez l'auteur;;;;;;;;;;;;;;;;;
1820;1;1820/01/01;20;177;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;"Le lutin couleur de feu, ou Mes tablettes d'une année; mœurs, politique, réputations en 1818 et 1819";;Anonyme;;;;16 2/3;;400;;in-12;;;;;;;;;;;;;;;;;;Fain;Paris;Paris;Mongie aîné;;;;;;;;;;;;;;;;;;;
1820;1;1820/01/01;38;177;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;Leçons morales;;Anonyme;;;;12 1/3;;296;;in-12;;;;;2,5;;;;;;;;;;;;;Cellot;Paris;Paris;Arthus Bertrand;;;;;;;;;;;;;;;;;;;
1820;1;1820/01/01;45;177;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;"L'homme gris, almanach français orné d'une Victoire par jour, dédié aux amis de la liberté de la presse, au commerce et aux braves défenseurs de la patrie; pour l'année 1820";;Anonyme;;;;4 4/9;;160;;in-18;;;;;5,0;;;;;;;;;;;;;Poulet;Paris;Paris;Poulet;Paris;Brissot-Thivars;Paris;Delaunay;Paris;Ladvocat;Paris;Corréard;Paris;Mlle Donnas;;;;;;;;;
1820;1;1820/01/01;46;177;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;"Le petit modiste français; dédié aux dames";;Anonyme;;;;5;;180;;in-18;;12 planches;12;;5,0;;;;;;;;;;;;;F. Didot;Paris;Paris;Lefuel;;;;;;;;;;;;;;;;;;;
1820;1;1820/01/01;56;177;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;"L'île des Indépendans, ou Critique des mœurs et de l'ambition en general; anecdotes romantiques et universelles";M. Blandeau, fils du jurisconsulte de ce nom à l'ancienne cour des aides de Montpellier;;Liens familiaux;;;8;;128;;in-8°;;;;;2,0;;;;;;;;;;;;;Dupont;Paris;Paris;Pigoreau;Paris;Martinet;Paris;Delaunay;;;;;;;;;;;;;;;
1820;1;1820/01/01;57;160;BELLES-LETTRES;Poétique et Poésies;Français;Parallèle et critique impartiale des traductions des bucoliques en vers français de MM. Tissot et Henri de Villodon;M. Lehodey de Sault-Chevreuil, ex-rédacteur du Journal des états-généraux et de l'assemblée constituante;;Métiers du livre;;;11 1/2;;184;;in-8°;;;;;3,5;;;;;;;;;;;;;P. N. Rougeron;Paris;Paris;Mme Aumont veuve Nyon;Paris;Petit;Paris;Blaise;;;;;;;;;;;;;;;
1820;1;1820/01/01;58;162;BELLES-LETTRES;Poétique et Poésies;Français;Epître au roi, à l'occasion du premier jour de l'an;M. Aliez, étudiant en médecine;;"Enseignement;Santé";;;0 1/2;;8;;in-8°;;;;;;;;;;;;;;;;;;Plassan;Paris;Paris;les marchands de nouveautés;;;;;;;;;;;;;;;;;;;
1820;1;1820/01/01;59;172;BELLES-LETTRES;Romans et Contes;Français;La famille Lillers, ou Scènes de la vie. Tome Ier;A. J. C. Saint-Prosper, auteur de l'Observateur au XIXe siècle;;Métiers du livre;;;9 1/2;;228;;in-12;;;;;2,5;;;;;;;;;;;;;Everat;Paris;Paris, quai Conti;N. Pichard;;;;;;;;;;;;;;;;;;;
