Date;Livraison;Année;N° de notice;Page;Catégorie;Sous-catégorie;Langue;Titre;Auteur;Posture;Affichage identitaire;Traducteur;Para-auteur;Nombre de feuilles;Fraction;Nombre de pages;Nombre de volumes;Format;Tirage 1;Illustrations 1;Nombre d'illustrations 1;Type de papier 1;Prix 1;Tirage 2;Illustrations 2;Nombre d'illustrations 2;Type de papier 2;Prix 2;Tirage 3;Illustrations 3;Nombre d'illustrations 3;Type de papier 3;Prix 3;Edition;Lieu d'édition;Imprimeur;Lieu d’impression;Lieu de vente 1;Libraire 1;Lieu de vente 2;Libraire 2;Lieu de vente 3;Libraire 3;Lieu de vente 4;Libraire 4;Lieu de vente 5;Libraire 5;Lieu de vente 6;Libraire 6;Lieu de vente 7;Libraire 7;Lieu de vente 8;Libraire 8;Lieu de vente 9;Libraire 9;Commentaires des bibliographes;Notes (e-BdF);Lien notice catalogue
1826/01/04;1;1826;7;203;BELLES-LETTRES;Rhétorique et Eloquence;Français;Éloge historique de M. le comte de Lacepède.;M. G. T. Vienneuve, secrétaire général de la société philotechnique;;Sociétés savantes;;;3 3/4;;60;;in-8°;;;;;2,0;;;;;;;;;;;;;Marchand-Dubreuil;Paris;Paris;Fournier-Favreux;;;;;;;;;;;;;;;;;;;
1826/01/04;1;1826;8;203;BELLES-LETTRES;Poétique et Poésie;Français;Oeuvres complètes d'Homère, traduites en français. (Tome II.) L'Iliade, traduction de Bitaubé, avec des remarques, une notice sur Homère et des réflexions sur la traduction des poètes. Tome second.;Homère;;;Bitaubé;;30 5/8;;490;;in-8°;;;;;6,0;;;;;;;;;;;;;Pochard;Paris;Paris, rue de Richelieu, n. 89;Castel de Courval;;;;;;;;;;;;;;;;;L'édition aura cinq volumes in-8°, chacun du prix de 6-0.;;
1826/01/04;1;1826;9;206;BELLES-LETTRES;Poétique et Poésie;Français;Album lithographique, par H. Bellangé, 1826, en douze planches numérotées de 1 à 12. - Entrée solennelle de S. M. Charles X, Roi de France et de Navarre, lithog. par Lœillet.;H. Bellangé;;;;Lœillet;;;;;;;;;;1,50;;;;;;;;;;;;;;;Paris;Villain;;;;;;;;;;;;;;;;;;;
1826/01/04;1;1826;10;208;BELLES-LETTRES;Poétique et Poésie;Français;Le Rossignol, nouvelles chansons et poésies diverses.;J. B. Gougé;;;;;5;;180;;in-18;;;;;1,25;;;;;;;;;;;;;Boucher;Paris;Paris, galerie de Bois, n. 227;Lagier jeune;;;;;;;;;;;;;;;;;;;
1826/01/04;1;1826;11;207;BELLES-LETTRES;Poétique et Poésie;Français;La bourse.;;Anonyme;;;;1;;16;;in-8°;;;;;;;;;;;;;;;;;;le Normant fils;Paris;Paris;marchands de nouveautés;;;;;;;;;;;;;;;;;En vers.;;
1826/01/04;1;1826;12;210;BELLES-LETTRES;Poétique et Poésie;Français;La guerre des cours. Mes trois premières années à l'Académie royale polytechnique, 1829-1831. Par un polytechnicien.;;Anonyme;;;;8;;288;;in-18;;;;;3,0;;;;;;;;;;;;;Pillet aîné;Paris;Paris, rue de Richelieu, n. 108;chez l'auteur;Paris, rue des Grands-Augustins, n. 7;Pillet aîné;Paris;principaux libraires;;;;;;;;;;;;;;;
1826/01/04;1;1826;13;210;BELLES-LETTRES;Poétique et Poésie;Français;Hymne à la mémoire du général Foy.;Amédée Pommier;;;;;1;;16;;in-8°;;;;;1;;;;;;;;;;;;;F. Didot;Paris;Paris, quai des Augustins, n. 25;Verdier;Paris;Pélicier;Paris;Delaunay;Paris;Ladvocat;Paris;Ponthieu;Paris;Sautelet;Paris;Prodhomme;Paris;Rapilly;Paris;Mlle Breville;;;
1826/01/04;1;1826;14;214;BELLES-LETTRES;Théâtre;Français;Almanach des spectacles pour 1826. Cinquième année, contenant, etc.;;Anonyme;;;;15 1/2;;558;;in-18;;;;;4,0;;;;;;;;;;;;;Fain;Paris;Paris, cour des Fontaines, n. 7;;Paris, derrière le Théâtre-Français;magasin de pièces de théâtre;;;;;;;;;;;;;;;;;
1826/01/04;1;1826;15;214;BELLES-LETTRES;Théâtre;Français;Répertoire du Théâtre-Français, avec des commentaires par Voltaire, L. Racine, Laharpe, Luneau de Boisgermain, d'Oivet, Palissot, Geoffroy, etc., des remarques de Molière, Le Kain, Baron, Brizard, Molé, Préville, mesdames Clairon, Dunesnil, Arnould, etc. Édition classée dans un nouvel ordre, ornée de 12 portraits et précédée de notices développées sur les auteurs et acteurs célèbres. Par MM. L. B. Picard et J. Peyrot. Neuvième livraison.;"M. le B. Picard;M. J. Peyrot";Collectif;;;;5;;80;;in-8°;;;;;2,0;;;;;;;;;;;;;Rignoux;Paris;Paris, rue Poupée, n. 11;;Paris;Roux-Dufort;;;;;;;;;;;;;;;L'édition aura deux volumes in-8°, chacun de 40 livraisons, qui paraîtront tous les quinze jours.;;
1826/01/04;1;1826;17;229;BELLES-LETTRES;Polygraphes;Français;Album pittoresque, composé de douze petites claires-voies, par V.;V.;Anonyme;;;;3 1/4;;52;;in-8°;;12 gravures;12;;;;;;;;;;;;;;;Belin-Leprieur;Paris;Paris;Bove;;;;;;;;;;;;;;;;;;;
