Année;Livraison;Date;N° de notice;Page;Catégorie;Sous-Catégorie;Langue;Titre;Auteur;Posture;Affichage identitaire;Traducteur;Para-auteur;Nombre de feuilles;Fraction;Nombre de pages;Nombre de volumes;Format;Tirage 1;Illustrations 1;Nombre d'illustrations 1;Type de papier 1;Prix 1;Tirage 2;Illustrations 2;Nombre d'illustrations 2;Type de papier 2;Prix 2;Tirage 3;Illustrations 3;Nombre d'illustrations 3;Type de papier 3;Prix 3;Edition;Lieu d'édition;Imprimeur;Lieu d’impression;Lieu de vente 1;Libraire 1;Lieu de vente 2;Libraire 2;Lieu de vente 3;Libraire 3;Lieu de vente 4;Libraire 4;Lieu de vente 5;Libraire 5;Lieu de vente 6;Libraire 6;Lieu de vente 7;Libraire 7;Lieu de vente 8;Libraire 8;Lieu de vente 9;Libraire 9;Commentaires des bibliographes;Notes (e-BdF);Lien notice catalogue
1822;1;1822/01/05;6;210;BELLES-LETTRES;Polygraphes;Français;Oeuvres de Fénélon, archevêque duc de Cambrai. Nouvelle édition, revue et corrigée avec soin. Tomes II et III;Fénélon, archevêque duc de Cambrai;;"Religion;Noblesse;Contexte géographique";;;59 1/2;;952;2;in-8°;;;;;;;;;;;;;;;;;;L. T. Cellot;Paris;Paris;L. Tenré;Paris;Boiste fils;;;;;;;;;;;;;;;;;
1822;1;1822/01/05;6;210;BELLES-LETTRES;Polygraphes;Français;Oeuvres de Fénélon, archevêque duc de Cambrai. Nouvelle édition, revue et corrigée avec soin. Tomes II et III;Fénélon, archevêque duc de Cambrai;;"Religion;Noblesse;Contexte géographique";;;39 3/4;;954;2;in-12;;;;;;;;;;;;;;;;;;L. T. Cellot;Paris;Paris;L. Tenré;Paris;Boiste fils;;;;;;;;;;;;;;;;;
1822;1;1822/01/05;9;"205;211";BELLES-LETTRES;"Polygraphes;Romans et Contes";Français;Ivanhoe, ou le Retour du Croisé. Oeuvres complètes de sir Walter Scott, tomes XVIII et XIX. C'est la première livraison de l'édition ia-octavo, qui aura 24 volumes;sir Walter Scott;;Noblesse;;;54 1/2;;872;2;in-8°;;;;;6;;;;;;;;;;;;;Rignoux;Paris;Paris;Ch. Gosselin;;;;;;;;;;;;;;;;;Le faux-titre porte : Oeuvres complètes de sir Walter Scott, tomes XVIII et XIX. C'est la première livraison de l'édition in-octavo, qui aura 24 volumes, chacun du prix de 6 francs.;Prix par volume.;
1822;1;1822/01/05;10;203;BELLES-LETTRES;Romans et Contes;Français;La Réconciliation;M**;;;;;16 1/2;;396;2;in-12;;;;;;;;;;;;;;;;;;Pillet aîné;Paris;Paris;Pillet aîné;;;;;;;;;;;;;;;;;;;
1822;1;1822/01/05;11;208;BELLES-LETTRES;Philologie, Mélanges, Critique, etc.;Français;Les Séductions politiques, ou l'An 1821. Roman;l'auteur des F..... du S....;Pseudonyme;Métiers du livre;;;26 1/2;;424;;in-8°;;;;;6;;;;;;;;;;;;;Chanson;Paris;Paris;Pillet aîné;;;;;;;;;;;;;;;;;;;
1822;1;1822/01/05;15;207;BELLES-LETTRES;Mythologie et Fables;Français;La Mythologie mise en action par des figures découpées et coloriées;;Anonyme;;;;2;;32;;in-8° oblong;;figures dans un étui;;;6;;;;;;;;;;;;;Hocquet;Paris;Paris;Nepveu;;;;;;;;;;;;;;;;;"C'est le second cahier ; le premier a été annoncé sous le num. 5091 de 1821.";;
1822;1;1822/01/05;16;203;BELLES-LETTRES;Romans et Contes;Français;Histoire d'Adolphe et de Silvérie;J. S. Quesné;;;;;16;;384;2;in-12;;;;;5;;;;;;;;;;;;;Egron;Paris;Paris;Pillet aîné;;;;;;;;;;;;;;;;;;;
1822;1;1822/01/05;17;206;BELLES-LETTRES;Romans et Contes;Français;Contes et nouvelles, par Amédée Conrad Pfeffel, des Académies royales de Bavière et de Prusse, et membre de la Société des sciences et arts du Haut et du Bas-Rhin. Traduit de l'allemand par A. C. A. Pfeffel, son fils. Tomes I et II;Amédée Conrad Pfeffel, des Académies royales de Bavière et de Prusse, et membre de la Société des sciences et arts du Haut et du Bas-Rhin;;"Sociétés savantes;Contexte géographique;Liens familiaux";A. C. A. Pfeffel, son fils [d'Amédée Conrad Pfeffel];;23;;552;2;In-12;;2 planches lithographiées;2;;6;;;;;;;;;;;;;Crapelet;Paris;Paris;J.L.J. Brière;;;;;;;;;;;;;;;;;C'est la première livraison de l'édition qui aura 10 volumes.;;
1822;1;1822/01/05;18;202;BELLES-LETTRES;Romans et Contes;Français;Jeanne d'Arc, ou l'Héroïne française;Mme Gottis;Nom féminin;;;;55;;1320;4;In-12;;4 figures et portrait de l'héroïne;5;;12;;;;;;;;;;;;;Dhautel;Paris;Paris;Arthus-Bertrand;;;;;;;;;;;;;;;;;;;
1822;1;1822/01/05;19;203;BELLES-LETTRES;Romans et Contes;Français;L'Aveugle de Valence, ou l'Ermitage de Roquebrune;M. Mardelle, auteur des Princes norvégiens, etc.;;Métiers du livre;;;86 3/4;;2082;5;In-12;;;;;12;;;;;;;;;;;;;Dhautel;Paris;Paris, rue Gît-le-Cœur, n. 4;Malepeyre;;;;;;;;;;;;;;;;;;;
