Date;Livraison;Année;N° de notice;Page;Catégorie;Sous-catégorie;Langue;Titre;Auteur;Posture;Affichage identitaire;Traducteur;Para-auteur;Nombre de feuilles;Fraction;Nombre de pages;Nombre de volumes;Format;Tirage 1;Illustrations 1;Nombre d'illustrations 1;Type de papier 1;Prix 1;Tirage 2;Illustrations 2;Nombre d'illustrations 2;Type de papier 2;Prix 2;Tirage 3;Illustrations 3;Nombre d'illustrations 3;Type de papier 3;Prix 3;Edition;Lieu d'édition;Imprimeur;Lieu d’impression;Lieu de vente 1;Libraire 1;Lieu de vente 2;Libraire 2;Lieu de vente 3;Libraire 3;Lieu de vente 4;Libraire 4;Lieu de vente 5;Libraire 5;Lieu de vente 6;Libraire 6;Lieu de vente 7;Libraire 7;Lieu de vente 8;Libraire 8;Lieu de vente 9;Libraire 9;Commentaires des bibliographes;Notes (e-BdF);Lien notice catalogue;n° de notice
1835/01/05;1;1833;1;209;BELLES-LETTRES;Poétique et Poésie;Français;A la femme;Mercier;;;;;0 1/4;;2;;in-4°;;;;;;;;;;;;;;;;;;Sétier;Paris;;;;;;;;;;;;;;;;;;;Cinq couplets saint-simoniens. Signé : Mercier.;;;
1835/01/05;1;1833;2;214;BELLES-LETTRES;Poétique et Poésie;Français;A la garde nationale de Paris. Le Corps-de-garde.;Defrance, garde national de la 2e légion, 1er bataillon, 2e compagnie;;Armée et maintien de l'ordre;;;0 1/4;;4;;in-8°;;;;;;;;;;;;;;;;;;Vinchon;Paris;;;;;;;;;;;;;;;;;;;Couplets, par Defrance, garde national de la 2e légion, 1er bataillon, 2e compagnie.;;;
1835/01/05;1;1833;4;211;BELLES-LETTRES;Poétique et Poésie;Français;A Victor Hugo.;;Anonyme;;;;0 1/2;;8;;in-8°;50;;;;;;;;;;;;;;;;;Prudhomme;St-Brieuc;;;;;;;;;;;;;;;;;;;En vers alexandrins. Tiré à 50.;;;
1835/01/05;1;1833;10;220;BELLES-LETTRES;Théâtre;Français;"L'anneau, ou Départ et retour. Comédie-vaudeville en deux actes; représentée sur le théâtre de l'Ambigu-Comique le 3 décembre 1832.";"M. Lavarenne;M. Laurencin";Collectif;;;;2 1/2;;40;;in-8°;;;;;1,5;;;;;;;;;;;;;Lottin de St-Germain;Paris;Paris, boulevart St-Martin, n. 12;Marchant;;;;;;;;;;;;;;;;;;;;
1835/01/05;1;1833;12;211;BELLES-LETTRES;Poétique et Poésie;Français;Anvers. Chant national.;Constans;;;;;0 1/2;;4;;in-4°;;;;;;;;;;;;;;;;;;Pihan Delaforest (M.);Paris;;;;;;;;;;;;;;;;;;;En vers libres, signés Constans.;;;
1835/01/05;1;1833;13;219;BELLES-LETTRES;Théâtre;Français;"L'art de ne pas monter sa garde. Vaudeville en un acte; représenté sur le théâtre des Variétés le 10 décembre 1832.";"M. Barthélemy;M. Lhérie";"Collectif;Pseudonyme masculin";;;;1 3/4;;28;;in-8°;;;;;1,5;;;;;;;;;;;;;Lottin de Saint-Germain;Paris;Paris, boulevart St-Martin, n. 12;Marchant;;;;;;;;;;;;;;;;;;;;
1835/01/05;1;1833;16;218;BELLES-LETTRES;Théâtre;Français;"Camilla, ou la Sœur et le frère. Comédie-vaudeville en un acte; représentée sur le théâtre du Gymnase-Dramatique le 12 décembre 1832.";"M. Scribe;M. Bayard";Collectif;;;;4 1/4;;68;;in-8°;;;;;;;;;;;;;;;;;;Dondey-Dupré;Paris;Paris, rue du Temple, n. 36;Pollet;;;;;;;;;;;;;;;;;;;;
1835/01/05;1;1833;19;213;BELLES-LETTRES;Poétique et Poésie;Français;Chansons de H. Leblanc. Première livraison.;H. Leblanc;;;;;1;;16;;in-8°;;;;;;;;;;;;;;;;;;Herhan;Paris;;;;;;;;;;;;;;;;;;;;;;
1835/01/05;1;1833;25;230;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;"La consolation des cocus, ou Bonnes raisons aux maris pour qu'ils soient toujours contens de leurs femmes; suivies d'une peinture fidèle des mœurs matrimoniales de tous les peuples, et de quelques faits, anecdotes et badinages sur le mariage, l'adultère, le divorce, les querelles conjugales, la polygamie, les filles de joie, les concubines, les eunuques, la vente et l'achat des femmes dans divers pays, etc., etc. Par un membre de la plus ancienne et la plus nombreuse confrérie de tous les royaumes, lord Witmolett, fils naturel de Mlle Conine, gouverneur des îles Sandwick. Traduit fidèlement de l'anglais et augmenté par C*** G***.";"un membre de la plus ancienne et la plus nombreuse confrérie de tous les royaumes, lord Witmolett, fils naturel de Mlle Conine, gouverneur des îles Sandwick;C*** G***";"Anonyme;Pseudonyme masculin;Compilation";"Noblesse;Contexte géographique;Liens familiaux;Politique;Administration;Autres";C*** G***;;3;;108;;in-18;;une planche;1;;;;;;;;;;;;;;;Chassaignon;Paris;Paris, rue Gît-le-Cœur, n. 7;Chassaignon;;;;;;;;;;;;;;;;;;;;
1835/01/05;1;1833;26;228;BELLES-LETTRES;Romans et Contes;Français;Contes de toutes les couleurs. Tome IV.;;Anonyme;;;;27 1/4;;436;;in-8°;;;;;7,50;;;;;;;;;;;;;Duverger;Paris;Paris;Fournier jeune;;;;;;;;;;;;;;;;;Sur la première page du texte on lit : Salmigondis. C'est l'intitulé des trois premiers volumes.;;;
1835/01/05;1;1833;28;206;BELLES-LETTRES;Introduction et Langues;Français;Cours pratique et théorique de la langue anglaise. 21e et 22e leçons.;Robertson;;;;;1;;16;;in-8°;;;;;8,0;;;;;;;;;;;;;Fain;Paris;Paris, rue du Bouloy, n. 7;Lance;;;;;;;;;;;;;;;;;Prix de chaque feuille séparément: 8-0. Sans pagination. Fait partie d'une réimpression du Robertson's magazine, ou Journal grammatical et littéraire de la langue anglaise. Cette réimpression, dans laquelle on supprime la partie littéraire, formera un volume in-8°, du prix, pour les souscripteurs, de 8-0.;;;
1835/01/05;1;1833;28;206;BELLES-LETTRES;Introduction et Langues;Français;Cours pratique et théorique de la langue anglaise. 24e leçon.;Robertson;;;;;1;;16;;in-8°;;;;;8,0;;;;;;;;;;;;;Fain;Paris;Paris, rue du Bouloy, n. 7;Lance;;;;;;;;;;;;;;;;;Prix de chaque feuille séparément: 8-0. Sans pagination. Fait partie d'une réimpression du Robertson's magazine, ou Journal grammatical et littéraire de la langue anglaise. Cette réimpression, dans laquelle on supprime la partie littéraire, formera un volume in-8°, du prix, pour les souscripteurs, de 8-0.;;;
1835/01/05;1;1833;29;220;BELLES-LETTRES;Théâtre;Français;"Le cousin Charles. Pièce en un acte, mêlée de couplets; représentée sur le théâtre du Panthéon le 20 novembre 1832.";H. Sybille;;;;;1 3/4;;28;;in-8°;;;;;1,50;;;;;;;;;;;;;Lottin de St-Germain;Paris;Paris, boulevart St-Martin, n. 12;Marchand;;;;;;;;;;;;;;;;;;;;
1835/01/05;1;1833;32;214;BELLES-LETTRES;Poétique et Poésie;Français;Le dernier soupir des braves, ou les Tombeaux de 1830. Hymne nationale. (Et le Réfugié polonais).;A. J. Sanson;;;;;0 1/4;;4;;in-8°;;;;;;;;;;;;;;;;;;Herhan;Paris;;;;;;;;;;;;;;;;;;;;;;
1835/01/05;1;1833;36;223;BELLES-LETTRES;Romans et Contes;Français;Le détenu.;Mme P..... Ch....., auteur de l'Elève de Saint-Denis;Anonyme féminin;"Épouse;Métiers du livre";;;34;;816;;in-12;;;;;;;;;;;;;;;;;;Fain;Paris;Paris, cour des Fontaines, n. 4;;Paris, passage de Henri IV, n. 11, 13 et 14;;;;;;;;;;;;;;;;;;;
1835/01/05;1;1833;37;223;BELLES-LETTRES;Romans et Contes;Français;Les deux anges.;Arnould Fremy;;;;;42 1/4;;676;2;in-8°;;;;;15,0;;;;;;;;;;;;;Everat;Paris;Paris, rue St-Germain-des-Prés, n. 9;Ch. Gosselin;;;;;;;;;;;;;;;;;;;;
1835/01/05;1;1833;45;210;BELLES-LETTRES;Poétique et Poésie;Français;Les enfants et les anges.;Edovard Thierry;;;;;3 11/16;;118;;in-16;;une planche;1;;;;;;;;;;;;;;;Belin;Paris;Paris;A. Belin;Paris;Delaunay;Paris;Mesnier;;;;;;;;;;;;;;;;
1835/01/05;1;1833;46;221;BELLES-LETTRES;Théâtre;Français;Les époux sans l'être. Historiette écrite en vers et divisée en trois actes, lue à la société d'agriculture, sciences, arts et belles-lettres du département de l'Aube, dans sa séance publique du 23 août 1832. Par M. Guy.;M. Guy;;;;;3 1/2;;56;;in-8°;;;;;;;;;;;;;;;;;;Sainton;Troyes;;;;;;;;;;;;;;;;;;;Tiré à 100.;;;
1835/01/05;1;1833;50;230;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;La foudre de la Saint-Sylvestre.;chevalier Descrivieux, éditeur, rue Rousselet, n. 5;;"Noblesse;Métiers du livre;Contexte géographique";;;0 1/2;;8;;in-8°;;;;;;;;;;;;;;;;;;Mme veuve Thuau;Paris;Paris, rue Richepanse, n. 1;;;;;;;;;;;;;;;;;;Signé : le chevalier Descrivieux, éditeur, rue Rousselet, n. 5.;;;
1835/01/05;1;1833;57;229;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;Keepsake Normand. Par une société de littérateurs et d'artistes. (Prospectus.);;Anonyme;;;;0 1/2;;8;;in-8°;;;;;;;;;;;;;;;;;;Baudry;Rouen;Rouen;Frère;Paris;Vimont;;;;;;;;;;;;;;;Formera un volume in-8° de 24 à 25 feuilles, avec 12 gravures. Le prix sera de 15-0.;;;
1835/01/05;1;1833;60;209;BELLES-LETTRES;Poétique et Poésie;Français;Malheur et pitié, suivi de la Conversation. Poëmes.;J. Delille;;;;;6 1/3;;228;;in-18;;;;;0,75;;;;;;;;;;;;;Marchand-Dubreuil;Paris;Paris, rue St-Jacques, n. 131;Hiard;;;;;;;;;;;;;;;;;;;;
1835/01/05;1;1833;72;223;BELLES-LETTRES;Romans et Contes;Français;Le Nain Clicthoue. Tradition bretonne des XIIe et XIIIe siècles.;Mme Eveline Desormery;Nom féminin;Épouse;;;49 3/4;;796;2;in-8°;;;;;1,0;;;;;;;;;;;;;Cosson;Paris;Paris, quai des Augustins, n. 59;Mme veuve Charles-Béchet;;;;;;;;;;;;;;;;;;;;
1835/01/05;1;1833;76;209;BELLES-LETTRES;Poétique et Poésie;Français;"Oeuvres de Delille, précédées d'une Notice sur sa vie et ses ouvrages, par P. F. Tissot. Tome X. La Pitié; la Conversation; poésies fugitives.";Delille;;;;P. F. Tissot;28 1/4;;452;;in-8°;;;;;2,50;;;;;;;;;;;;;Fournier;Paris;Paris, quai des Augustins;Furne;;;;;;;;;;;;;;;;;L'édition aura 10 volumes. On en promet un les 1er et 15 de chaque mois. Il y aura 3 livraisons de planches : prix de chaque livraison 2,0.;;;
1835/01/05;1;1833;77;231;BELLES-LETTRES;Polygraphes;Français;Oeuvres de M. Ballanche, de l'académie de Lyon. Tome II. (Deuxième partie.) Institutions sociales. (Pages 217-440.);M. Ballanche, de l'académie de Lyon;;"Contexte géographique;Sociétés savantes";;;6 2/9;;224;;grand in-18;;;;;1,50;;;;;;;;;;;;;Jules Didot aîné;Paris;Paris, rue des Grands-Augustins, n. 18;bureau de l'Encyclopédie des connaissances usuelles;;;;;;;;;;;;;;;;;"C'est la deuxième livraison d'une édition in-18, dont les six premiers volumes contiendront les quatre volumes déjà publiés de l'édition in-8°.
Les tomes V et VI de l'édition in-8° paraîtront dans le premier trimestre de 1833, et seront en même tems reproduits dans le format in-18.
L'édition in-18 sera distribuée par livraison d'un demi-volume tous les samedis, à partir du 22 décembre 1832. Chaque livraison in-18 coûtera 1,50.";;;
1835/01/05;1;1833;78;"223;217";BELLES-LETTRES;"Théâtre;Romans et Contes";Français;Œuvres de Victor Hugo. Drames. Le Roi s'amuse. Troisième édition.;Victor Hugo;;;;;14;;224;;in-8°;;;;;6,0;;;;;;;;;;;;;Everat;Paris;Paris, rue des Grands-Augustins, n. 22;Eugène Renduel;;;;;;;;;;;;;;;;;La seconde édition du Roi s'amuse m'est inconnue.;;;
1835/01/05;1;1833;79;210;BELLES-LETTRES;Poétique et Poésie;Français;Œuvres poétiques de Pierre Dumas, ex-directeur du théâtre de Boulogne.;Pierre Dumas, ex-directeur du théâtre de Boulogne;;"Contexte géographique;Beaux-Arts;Anciens";;;3 1/3;;120;;in-18;;;;;3,0;;;;;;;;;;;;;Griset;Boulogne;;;;;;;;;;;;;;;;;;;Contient la Mission, comédie en trois scènes et en prose.;;;
1835/01/05;1;1833;80;209;BELLES-LETTRES;Poétique et Poésie;Français;Les Oréades.;J. Duchêne;;;;;7;;252;;in-18;;;;;;;;;;;;;;;;;;Dupont;Paris;Paris, quai des Augustins, n. 39;Furne;;;;;;;;;;;;;;;;;Poésies.;;;
1835/01/05;1;1833;83;222;BELLES-LETTRES;Romans et Contes;Français;Les petits orphelins des hameaux. Nouvelle édition. Par J. H. F. Geller.;J. H. F. Geller (madame Guenard);"Pseudonyme;Nom féminin";Épouse;;;6;;216;2;in-18;;;;;;;;;;;;;;;;;;Chassaignon;Paris;Paris, rue Gît-le-Cœur, n. 7;Chassaignon;;;;;;;;;;;;;;;;;M. Quérard, dans sa France littéraire, III, 301, dit que Geller est un des pseudonymes de madame Guenard.;;;
1835/01/05;1;1833;86;218;BELLES-LETTRES;Théâtre;Français;"Le pré aux clercs. Opéra comique en trois actes, paroles de M. E. de Planard, musique de M. Hérold ; représenté sur le théâtre royal de l'Opéra-Comique le 15 décembre 1832.";M. E. de Planard;;;;M. Hérold;5 1/2;;88;;in-8°;;;;;3,0;;;;;;;;;;;;;Duverger;Paris;Paris, au Palais-Royal;Barba;;;;;;;;;;;;;;;;;;;;
1835/01/05;1;1833;87;218;BELLES-LETTRES;Théâtre;Français;"La prima donna, ou la Sœur de lait. Comédie mêlée de chants; représentée sur le théâtre des Variétés le 26 novembre 1832.";"M. Achille;M. Jules";"Collectif;Pseudonyme masculin";;;;2 1/2;;40;;in-8°;;;;;1,5;;;;;;;;;;;;;David;Paris;Paris, faubourg Poissonnière, n. 1;chez l'éditeur;Paris;Barba;;;;;;;;;;;;;;;;;;
1835/01/05;1;1833;88;211;BELLES-LETTRES;Poétique et Poésie;Français;La prise de la citadelle d'Anvers. Chant de victoire.;Adolphe Porte;;;;;0 1/4;;4;;in-8°;;;;;;;;;;;;;;;;;;Carpentier-Méricourt;Paris;;;;;;;;;;;;;;;;;;;Couplets, signés Adolphe Porte.;;;
1835/01/05;1;1833;95;211;BELLES-LETTRES;Poétique et Poésie;Français;Réponse à la Justification. À M. Barthélemy.;Emile Saladin;;;;;0 1/4;;4;;in-8°;;;;;;;;;;;;;;;;;;Coudert;Bordeaux;;;;;;;;;;;;;;;;;;;En vers alexandrins. Signé : Emile Saladin : voyez n. 4584 et 4838 de 1832.;;;
1835/01/05;1;1833;96;217;BELLES-LETTRES;Théâtre;Français;Réponse à la préface du Roi s'amuse, drame.;Albert Deltuf;;;;;1 1/4;;20;;in-8°;;;;;;;;;;;;;;;;;;Demonville;Paris;;;;;;;;;;;;;;;;;;;Signé : Albert Deltuf. Le Roi s'amuse, drame de M. Victor Hugo, a été annoncé sous le n. 6076 de 1832 et sous le n. 78 de 1833.;;;
1835/01/05;1;1833;97;209;BELLES-LETTRES;Poétique et Poésie;Français;Le rêve de Morat.;Morat;;;;;0 1/4;;2;;in-4°;;;;;;;;;;;;;;;;;;Sétier;Paris;;;;;;;;;;;;;;;;;;;Quatre couplets saint-simoniens, signés Morat.;;;
1835/01/05;1;1833;98;215;BELLES-LETTRES;Poétique et Poésie;Français;La Révolution de Juillet à S. A. R. la duchesse de Berri, captive à Blaye.;Cyprien Desmarais;;;;;0 3/4;;12;;in-8°;;;;;;;;;;;;;;;;;;Demonville;Paris;Paris;Dentu;;;;;;;;;;;;;;;;;En vers.;;;
1835/01/05;1;1833;99;223;BELLES-LETTRES;Romans et Contes;Français;La Stréga.;Ernest Fouinet, l'un des collaborateurs des Cent-et-un;;Métiers du livre;;;45 1/4;;724;2;in-8°;;;;;15,0;;;;;;;;;;;;;Marlin;Versailles;Paris, rue Thiroux, n. 8;Silvestre;Paris, rue Notre-Dame-des-Champs, n. 53;Allais;;;;;;;;;;;;;;;;;;
1835/01/05;1;1833;100;220;BELLES-LETTRES;Théâtre;Français;"Le te deum et le de profundis. Vaudeville en un acte, imité d'un proverbe de M. Théodore Leclercq; représenté sur le théâtre du Panthéon le 13 décembre 1832.";"M. V. Ratier;M. E. D. Saintyves";Collectif;;;;2;;32;;in-8°;;;;;1,50;;;;;;;;;;;;;David;Paris;Paris, boulevart Bonne-Nouvelle, n. 2;;Paris;Barba;;;;;;;;;;;;;;;Y compris la couverture imprimée sur papier blanc.;;;
1835/01/05;1;1833;101;222;BELLES-LETTRES;Romans et Contes;Français;Thomas Morus, lord chancelier du royaume d'Angleterre au XVIe siècle.;;Anonyme;;;;42;;672;2;in-8°;;;;;15,0;;;;;;;;;;;;;Fournier;Paris;Paris, rue St-Germain-des-Prés, n. 9;Ch. Gosselin;;;;;;;;;;;;;;;;;;;;
1835/01/05;1;1833;104;209;BELLES-LETTRES;Poétique et Poésie;Français;Les trois règnes de la nature.;J. Delille;;;;;7;;252;;in-18;;;;;0,75;;;;;;;;;;;;;Marchand-Dubreuil;Paris;Paris, rue Saint-Jacques, n. 131;Hiard;;;;;;;;;;;;;;;;;;;;
1835/01/05;1;1833;105;217;BELLES-LETTRES;Théâtre;Français;"Voltaire et madame de Pompadour. Comédie en trois actes; représentée sur le Théâtre-Français le 12 novembre 1832.";"M. J. B. P. Lafitte;M. Ch. Desnoyer";Collectif;;;;3 1/4;;52;;in-8°;;;;;2,50;;;;;;;;;;;;;David;Paris;Paris, au Palais-Royal;Barba;;;;;;;;;;;;;;;;;;;;
1835/01/05;1;1833;116;229;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;Le pique-nique littéraire. Chronique du théâtre des passe-tems dramatiques. Samedi 29 décembre 1832. Première année. (N. 1.);;Compilation;;;;0 1/2;;4;;in-4°;;;;;;;;;;;;;;;;;;Fournier;Paris;;;;;;;;;;;;;;;;;;;On s'abonne au secrétariat du théâtre, rue du Montblanc, n. 68. Les articles, etc., doivent être adressés à M. Hilpert, rue des Beaux-Arts, n. 8. Un numéro paraîtra à chaque représentation. Les prix ne sont pas indiqués.;;;
1835/01/05;1;1833;119;206;BELLES-LETTRES;Introduction et Langues;Anglais;The student's assistant, or learner's guide to the English language. The fifth edition, Carefully revised and improved.;A. Boniface;;;;;6;;216;;in-18;;;;;;;;;;;;;;;;;;Smith;Paris;Paris, rue du Coq;Baudry;;;;;;;;;;;;;;;;;"Déjà annoncé sous le n. 6219 de 1832; mais fautivement.";;;
1835/01/05;1;1833;122;207;BELLES-LETTRES;Rhétorique et Eloquence;"Français;Latin";Discours latin et français, prononcés le jour de l'ouverture des cours de théologie en Sorbonne le 22 novembre 1832.;Marie-Nicolas-Sylvestre Guillon;;;;;3 1/4;;52;;in-8°;;;;;;;;;;;;;;;;;;Ad. Leclère;Paris;;;;;;;;;;;;;;;;;;;Il y a un discours latin et un discours français.;;;
1833/01/12;2;1833;129;214;BELLES-LETTRES;Poétique et Poésie;Français;A mes amis. Le Jour de l'an.;T. Defrance;;;;;0 1/4;;4;;in-8°;;;;;;;;;;;;;;;;;;Vinchon;Paris;;;;;;;;;;;;;;;;;;;Par T. Defrance.;;;
1833/01/12;2;1833;138;216;BELLES-LETTRES;Poétique et Poésie;Français;Au roi. Epître iambique.;M. Gabriel Marlhiou;;;;;1 1/2;;24;;in-8°;;;;;;;;;;;;;;;;;;Plassan;Paris;Paris;Delaunay;Paris;marchands de nouveautés;;;;;;;;;;;;;;;;;;
1833/01/12;2;1833;146;216;BELLES-LETTRES;Poétique et Poésie;Français;Les chants de l'opposition. Satires politiques.;L. Gambet;;;;;1;;16;;in-8°;;;;;0,40;;;;;;;;;;;;;Stahl;Paris;Paris;tous les libraires;;;;;;;;;;;;;;;;;Première publication contenant sept chansons. Il y aura trois autres publications.;;;
1833/01/12;2;1833;151;219;BELLES-LETTRES;Théâtre;Français;"Crédeville, ou le Serment du gabelou. Vaudeville en deux actes; représenté sur le théâtre du Palais-Royal le 6 décembre 1832.";"M. Ad. de Leuven;M. Ph. Dumanoir";Collectif;;;;2 1/4;;36;;in-8°;;;;;1,50;;;;;;;;;;;;;Duverger;Paris;Paris, au Palais-Royal;Barba;;;;;;;;;;;;;;;;;;;;
1833/01/12;2;1833;159;230;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;"Du timbre et du visa portant double cachet ; de par la loi, j'entends, n'en déplaise à Gisquet, tirant de ses écarts une faible vengeance, dénommer ma chanson l'arrêt de sa démence. Chanson nouvelle, dédiée au peuple français.";marquis de Chabannes;;Noblesse;;;0 1/4;;4;;in-8°;;;;;;;;;;;;;;;;;;Sétier;Paris;Paris, place du Palais-Royal, n. 223;;;;;;;;;;;;;;;;;;;;;
1833/01/12;2;1833;172;223;BELLES-LETTRES;Romans et Contes;Français;Georgette, ou la Nièce du tabellion.;Ch. Paul de Kock;;;;;35;;840;4;in-12;;;;;;;;;;;;;;;;;;Barbier;Paris;Paris, rue Mazarine, n. 34;Gustave Barba;;;;;;;;;;;;;;;;;Les faux-titres portent : Oeuvres complètes de Ch. Paul de Kock. Tomes III-VI.;;;
1833/01/12;2;1833;174;221;BELLES-LETTRES;Théâtre;Français;Guillaume Tell. Treize compositions gravées par Ribault, d'après C. Oesterley, précédé d'une analyse du drame de Schiller, par L. C. Soyer.;L. C. Soyer;;;;"Ribault;C. Oesterley";1 1/2;;36;;in-12 oblong;;13 planches;13;;;;;;;;;;;;;;;Pillet aîné;Paris;Paris, rue de la Monnaie, n. 14;Ribault;Paris;Audot;Paris;Bossange père;;;;;;;;;;;;;;;;
1833/01/12;2;1833;189;219;BELLES-LETTRES;Théâtre;Français;"M. Duroseau, ou l'Homme flexible. Comédie en un acte, mêlée de couplets; représentée sur le théâtre du Palais-Royal le 26 décembre 1832.";"M. Brazier;M. Carmouche";Collectif;;;;3;;48;;in-8°;;;;;1,5;;;;;;;;;;;;;Chassaignon;Paris;Paris, boulevart St-Martin, n. 18;Quoy;;;;;;;;;;;;;;;;;;;;
1833/01/12;2;1833;193;208;BELLES-LETTRES;Poétique et Poésie;Français;Le missionnaire de la liberté. Poëme.;Duboulay;;;;;1;;16;;in-8°;;;;;;;;;;;;;;;;;;Gros;Nyons;;;;;;;;;;;;;;;;;;;;;;
1833/01/12;2;1833;197;232;BELLES-LETTRES;Mythologie et Fables;Français;Nouveau choix de cent fables de La Fontaine, avec frontispice et une vignette à chaque fable.;La Fontaine;;;;;5;;180;;in-18;;un frontispice et une vignette à chaque fable;101;;;;;;;;;;;;;;;Deckherr;Montbéliard;;;;;;;;;;;;;;;;;;;;;;
1833/01/12;2;1833;202;231;BELLES-LETTRES;Polygraphes;Français;Œuvres de M. Ballanche, de l'académie de Lyon. Tome III. (Première partie.) Le Vieillard et le jeune homme : Camille Jordan : l'Homme sans nom. (Pages 1-180.);M. Ballanche, de l'académie de Lyon;;"Contexte géographique;Sociétés savantes";;;5 1/9;;184;;grand in-18;;;;;1,50;;;;;;;;;;;;;Jules Didot aîné;Paris;Paris, rue des Grands-Augustins, n. 18;bureau de l'Encyclopédie des connaissances usuelles;;;;;;;;;;;;;;;;;C'est la troisième livraison d'une édition in-18, dont les six premiers volumes contiendront les quatre volumes déjà publiés de l'édition in-8°. Les tomes V et VI de l'édition in-8° paraîtront dans le premier trimestre de 1833, et seront en même tems reproduits dans le format in-18. L'édition in-18 sera distribuée par livraison d'un demi-volume tous les samedis, à partir du 22 décembre 1832. Chaque livraison in-18 coûtera 1-50.;;;
1833/01/12;2;1833;204;233;BELLES-LETTRES;Epistolaires;Français;Le petit secrétaire de la jeunesse. Nouveau recueil de lettres pour nouvelle année et bouquets.;;Anonyme;;;;0 1/2;;32;;in-32;;;;;;;;;;;;;;;;;;Lambert-Gentot;Lyon;Lyon;Lambert-Gentot;;;;;;;;;;;;;;;;;;;;
1833/01/12;2;1833;207;214;BELLES-LETTRES;Poétique et Poésie;Français;Plaidoyer pour la parure, prononcé à la séance publique de la société philotechnique, tenue à la Ville, salle St-Jean, le 16 décembre 1832. Par M. Febvé, en réponse à un discours de son honorable ami, M. Berville, contre la parure.;M. Febvé;;;;;1;;16;;in-8°;;;;;;;;;;;;;;;;;;Plassan;Paris;Paris, Palais-Royal;Mme Goullet;Paris;marchands de nouveautés;;;;;;;;;;;;;;;En vers.;;;
1833/01/12;2;1833;210;211;BELLES-LETTRES;Poétique et Poésie;Français;La prise de la citadelle d'Anvers, ou les Jongleries démasquées. Chanson nouvelle.;marquis de Chabannes;;Noblesse;;;0 1/4;;4;;in-8°;;;;;;;;;;;;;;;;;;Sétier;Paris;Paris, place du Palais-Royal, n. 233;;;;;;;;;;;;;;;;;;;;;
1833/01/12;2;1833;220;216;BELLES-LETTRES;Poétique et Poésie;Français;"Traduction des vers polonais composés pour le second anniversaire de la révolution polonaise du 29 novembre 1830, célébrée à Besançon; par M. Joseph Meyzner, capitaine au 9e régiment de ligne, traduits par M. Victor Rochetin, capitaine de cavalerie polonaise.";M. Joseph Meyzner, capitaine au 9e régiment de ligne;;Armée et maintien de l'ordre;M. Victor Rochetin, capitaine de cavalerie polonaise;;0 1/2;;8;;in-8°;;;;;;;;;;;;;;;;;;Déis;Besançon;;;;;;;;;;;;;;;;;;;En vers libres.;;;
1833/01/12;2;1833;223;223;BELLES-LETTRES;Romans et Contes;Français;Valentine, ou le Pasteur d'Uzès. Nouvelle édition, revue et corrigée par l'auteur, et augmentée d'une Notice sur le Procès de Valentine.;Victor Ducange;;;;;37;;888;4;in-12;;;;;;;;;;;;;;;;;;Barbier;Paris;Paris, rue Mazarine, n. 34;Gustave Barba;;;;;;;;;;;;;;;;;Les faux-titres portent : Oeuvres complètes de Victor Ducange. VI-IX.;;;
1833/01/12;2;1833;225;211;BELLES-LETTRES;Poétique et Poésie;Français;Le 28 décembre 1832, ou le Retour des princes aux Tuileries, après la prise de la citadelle d'Anvers.;M. Lepernay;;;;;0 1/2;;8;;in-8°;;;;;1;;;;;;;;;;;;;Mme veuve Poussin;Paris;Paris, rue Thiroux, n. 8;Sylvestre;;;;;;;;;;;;;;;;;Neuf strophes.;;;
1833/01/12;2;1833;242;206;BELLES-LETTRES;Introduction et Langues;Français;Cours de littérature allemande, ou Morceaux choisis des auteurs les plus distingués de l'Allemagne, précédés de Notices biographiques et rangés dans l'ordre historique. Par M. Lebas, maître de conférences à l'école normale, et par M. Regnier, professeur au collége royal de St-Louis. (Tome VI.) Cours de littérature. Première partie : prose.;auteurs les plus distingués de l'Allemagne;Compilation;"Enseignement;Contexte géographique;Autres";;"M. Lebas, maître de conférences à l'école normale;M. Regnier, professeur au collége royal de St-Louis";24 5/8;;394;;in-8°;;;;;;;;;;;;;;;;;;Smith;Paris;Paris;Bobée et Hingray;Paris;Théophile Barrois fils;Paris;Baudry;Paris;Truchy;Paris;Hachette;;;;;;;;;Idem. In-12 de 16 feuilles 1/6.;;;
1833/01/12;2;1833;242;206;BELLES-LETTRES;Introduction et Langues;Français;Cours de littérature allemande, ou Morceaux choisis des auteurs les plus distingués de l'Allemagne, précédés de Notices biographiques et rangés dans l'ordre historique. Par M. Lebas, maître de conférences à l'école normale, et par M. Regnier, professeur au collége royal de St-Louis. (Tome VI.) Cours de littérature. Première partie : prose.;auteurs les plus distingués de l'Allemagne;Compilation;"Enseignement;Contexte géographique;Autres";;"M. Lebas, maître de conférences à l'école normale;M. Regnier, professeur au collége royal de St-Louis";16 1/6;;388;;in-12;;;;;;;;;;;;;;;;;;Smith;Paris;Paris;Bobée et Hingray;Paris;Théophile Barrois fils;Paris;Baudry;Paris;Truchy;Paris;Hachette;;;;;;;;;Idem. In-12 de 16 feuilles 1/6.;;;
