Année;Livraison;Date;N° de notice;Page;Catégorie;Sous-Catégorie;Langue;Titre;Auteur;Posture;Affichage identitaire;Traducteur;Para-auteur;Nombre de feuilles;Fraction;Nombre de pages;Nombre de volumes;Format;Tirage 1;Illustrations 1;Nombre d'illustrations 1;Type de papier 1;Prix 1;Tirage 2;Illustrations 2;Nombre d'illustrations 2;Type de papier 2;Prix 2;Tirage 3;Illustrations 3;Nombre d'illustrations 3;Type de papier 3;Prix 3;Edition;Lieu d'édition;Imprimeur;Lieu d’impression;Lieu de vente 1;Libraire 1;Lieu de vente 2;Libraire 2;Lieu de vente 3;Libraire 3;Lieu de vente 4;Libraire 4;Lieu de vente 5;Libraire 5;Lieu de vente 6;Libraire 6;Lieu de vente 7;Libraire 7;Lieu de vente 8;Libraire 8;Lieu de vente 9;Libraire 9;Commentaires des bibliographes;Notes (e-BdF);Lien notice catalogue
1834;1;1834/01/04;1;221;BELLES-LETTRES;Théâtre;Français;Académie royale de musique. La Révolte au sérail, ballet-fée-rie en trois actes, de M. Taglioni. (Programme.);;Anonyme;;;;0 1/2;;4;;in-4°;;;;;;;;;;;;;;;;;;Carpentier-Méricourt;Paris;Paris, rue Ste-Anne, n. 69;Roullet;;;;;;;;;;;;;;;;;La pièce est imprimée : voyez n. 6732 de 1833.;;
1834;1;1834/01/04;5;218;BELLES-LETTRES;Poétique et Poésie;Français;Almanach des braves, ou Une Victoire par jour, contenant : le Grenadier français, le Manchot, le Réveil du soldat, l'ombre de Kosciusko, etc.;;Anonyme;;;;0 1/2;;24;;in-24;;;;;;;;;;;;;;;;;;Sétier;Paris;;;;;;;;;;;;;;;;;;;;;
1834;1;1834/01/04;9;225;BELLES-LETTRES;Théâtre;Français;Analyse de : Le Pied de mouton, mélodrame-féerie;;;;;;0 3/4;;12;;in-8°;;;;;;;;;;;;;;;;;;Sétier;Paris;;;;;;;;;;;;;;;;;;;Le Pied de mouton, mélodrame-féerie de feu Martinville, a eu plusieurs éditions. La troisième est de 1810. La première représentation est du 30 mars 1808.;;
1834;1;1834/01/04;12;220;BELLES-LETTRES;Poétique et Poésie;Français;L'Arioste. Roland furieux. Traduit en vers français par M. le baron de Frenilly.;L'Arioste;;Noblesse;M. le baron de Frenilly;;92 1/2;;1480;4;in-8°;;;;;30;;;;;;;;;;;;;Duverger;Paris;Paris, rue de Richelieu, n. 67;Michaud;;;;;;;;;;;;;;;;;En vers de dix syllabes.;;
1834;1;1834/01/04;15;217;BELLES-LETTRES;Poétique et Poésie;Français;Au roi. Deuxième satyre;Louis Bastide;;;;;2;;32;;in-8°;;;;;;;;;;;;;;;;;;Petit;Paris;Paris, rue Bourbon-Villeneuve, n. 36;chez l'auteur;Paris;Pagnerre;Paris;Rouanet;Paris;Grimprelle;;;;;;;;;;;;;
1834;1;1834/01/04;18;222;BELLES-LETTRES;Théâtre;Français;Bertrand et Raton, ou l'Intrigant et sa dupe. Comédie en cinq actes et en prose. Représentée sur le théâtre de la Gaîté le 28 décembre 1833.;feu Picard;;;;;8 1/2;;136;;in-8°;;;;;;;;;;;;;;;;;;Dentu;Paris;Paris, Palais-Royal;Duvernois;;;;;;;;;;;;;;;;;Pièce représentée avec succès sur le théâtre Louvois le 27 pluviose an 13.;;
1834;1;1834/01/04;24;235;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;Biographie de quelques futurs grands hommes. Par un petit homme passé.;Charles Rey;Pseudonyme masculin;;;;14 1/2;;232;;in-8°;;;;;;;;;;;;;;;;;;Belin;Paris;Paris;Delaunay;Paris, Palais-Royal;Ledoyen;;;;;;;;;;;;;;;Signé : Charles Rey.;;
1834;1;1834/01/04;26;234;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;"Le Brahme voyageur, ou la Sagesse populaire de toutes les nations; précédé d'un Essai sur la philosophie de Sancho";Ferdinand Denis;;;;;6;;216;;in-18;;3 gravures;3;;4,5;;;;;;;;;;;;;Everat;Paris;Paris, rue Richelieu, n. 95;Abel Ledoux;;;;;;;;;;;;;;;;;;;
1834;1;1834/01/04;30;223;BELLES-LETTRES;Théâtre;Français;C'est encore du bonheur, ou le Prédestiné. Comédie-vaudeville en trois actes. Avec un épilogue. Représentée sur le théâtre national du Vaudeville le 5 décembre 1833.;"M. Arnould;M. Lockroy";Collectif;;;;6 1/2;;104;;in-8°;;;;;;;;;;;;;;;;;;Dezauche;Paris;Paris, rue Vivienne, n. 16;Dupont;;;;;;;;;;;;;;;;;;;
1834;1;1834/01/04;31;213;BELLES-LETTRES;Rhétorique et Eloquence;Français;"Chefs-d'œuvre de Démosthène et d'Eschine. Nouvelle traduction française, précédée d'un discours préliminaire, et accompagnée de notes et d'analyses ; par M. l'abbé Jager. Tome II.";"Démosthène;Eschine";Compilation;Religion;;M. l'abbé Jager;33 1/2;;536;;in-8°;;;;;;;;;;;;;;;;;;Mme veuve Poussin;Paris;Paris, quai des Augustins, n. 57;Poilleux;;;;;;;;;;;;;;;;;;;
